step,action,action_vec_norm,obs_norm,free_energy,confidence,cycle_count,frame_mean,elapsed_ms
0,2,1.248425,0.516117,9.895697,0.896090,1,2.919800,14.814
1,2,1.501282,0.583705,26.910225,0.916552,2,2.875000,13.402
2,1,1.543809,0.475967,26.233707,0.916769,3,2.890564,13.179
3,1,1.426821,0.606013,23.603673,0.916834,4,2.902344,13.189
4,1,1.675511,0.654486,22.760433,0.917767,5,2.947144,13.151
5,3,1.296913,0.630979,19.880077,0.916825,6,2.921692,13.300
6,0,1.817144,0.581047,18.122563,0.916778,7,2.890564,13.220
7,3,1.668708,0.432962,17.554217,0.916802,8,2.890564,13.212
8,0,1.577334,0.610846,17.680281,0.916277,9,2.904236,13.223
9,0,1.608887,0.599189,17.876158,0.916202,10,2.890564,13.239
10,3,2.047352,0.640418,17.927786,0.916840,11,2.919800,13.465
11,3,1.899073,0.613203,18.009934,0.916377,12,2.892456,13.404
12,2,1.722673,0.601858,18.019090,0.916085,13,2.875000,13.717
13,3,1.457417,0.538232,17.449117,0.916861,14,2.902344,13.801
14,2,1.785090,0.648553,17.102591,0.915891,15,2.906128,49.809
15,0,1.403216,0.619744,16.669020,0.915456,16,2.875000,13.282
16,0,1.866929,0.466531,16.317702,0.916691,17,2.861328,13.576
17,2,1.362306,0.654603,16.570810,0.916645,18,2.904236,13.266
18,2,1.833498,0.531755,16.497422,0.917190,19,2.888672,13.368
19,3,1.148664,0.596187,16.134591,0.917117,20,2.847656,45.787
20,2,1.083298,0.367589,15.632461,0.917923,21,2.845764,13.644
21,3,1.727662,0.472091,15.504707,0.916158,22,2.904236,13.437
22,3,1.826889,0.468589,15.552955,0.919039,23,2.812744,13.349
23,3,2.006797,0.524465,15.588736,0.917862,24,2.904236,13.345
24,2,1.569087,0.430368,15.692437,0.917402,25,2.876892,13.935
25,2,1.609150,0.483791,15.380072,0.917492,26,2.863220,13.323
26,3,1.774382,0.500240,15.466713,0.916834,27,2.892456,13.390
27,3,1.832943,0.563106,15.342261,0.917178,28,2.853760,13.335
28,2,1.592739,0.649725,15.396416,0.917607,29,2.875000,45.923
29,3,2.037902,0.499966,15.273914,0.915824,30,2.847656,13.302
30,3,1.655024,0.539238,15.362101,0.917182,31,2.876892,13.531
31,2,1.550055,0.465394,15.329396,0.916826,32,2.933472,13.395
32,3,1.943349,0.469721,15.101183,0.916505,33,2.904236,13.311
33,3,1.299289,0.570766,15.014546,0.917415,34,2.933472,45.815
34,2,1.860330,0.655899,14.949105,0.917714,35,2.890564,13.387
35,3,1.758566,0.539976,14.858322,0.917908,36,2.890564,13.316
36,3,1.898692,0.496690,14.819626,0.917663,37,2.933472,13.528
37,2,1.646814,0.530527,14.882825,0.917414,38,2.921692,13.775
38,2,1.246091,0.574513,15.006214,0.917366,39,2.917908,45.849
39,2,1.805623,0.627099,15.165199,0.916753,40,2.876892,13.373
40,3,1.790071,0.732072,15.097833,0.917172,41,2.919800,13.749
41,3,1.448488,0.715854,15.063234,0.916433,42,2.904236,13.505
42,0,1.795540,0.755560,15.140443,0.916839,43,2.878784,13.348
43,2,1.318810,0.626358,15.306243,0.916560,44,2.890564,46.025
44,0,2.056321,0.506194,15.337109,0.917367,45,2.888672,13.378
45,0,1.602863,0.532145,15.619123,0.917365,46,2.890564,13.422
46,3,1.191138,0.495597,15.754761,0.917291,47,2.906128,13.366
47,2,1.523602,0.537308,16.289298,0.916851,48,2.892456,13.517
48,0,1.750275,0.507612,16.476847,0.917107,49,2.876892,41.908
49,1,1.971873,0.678894,16.330217,0.916821,50,2.826416,13.349
50,1,1.676399,0.669780,16.115143,0.917156,51,2.892456,13.633
51,1,2.568733,0.621136,16.214891,0.917359,52,2.900452,13.774
52,2,1.380586,0.625894,16.342536,0.916487,53,2.906128,13.407
53,0,1.096791,0.515367,16.505012,0.916742,54,2.904236,41.910
54,1,1.544242,0.355516,16.404589,0.916594,55,2.843872,13.543
55,3,1.221961,0.387106,16.566691,0.916229,56,2.904236,13.716
56,3,1.667397,0.489738,16.684149,0.916945,57,2.931580,13.547
57,1,1.469668,0.472445,17.251355,0.917147,58,2.906128,13.640
58,3,1.387329,0.591107,17.079931,0.916480,59,2.921692,13.681
59,2,1.146172,0.560044,17.395535,0.917850,60,2.785400,13.617
60,0,1.549454,0.546826,17.582286,0.917896,61,2.847656,13.800
61,0,1.821272,0.623669,17.756987,0.917427,62,2.904236,13.614
62,1,1.708267,0.563911,17.760776,0.918028,63,2.917908,13.925
63,1,2.125570,0.635598,17.932462,0.918062,64,2.876892,46.472
64,1,1.738759,0.675318,18.401979,0.917447,65,2.888672,13.588
65,2,1.336668,0.702274,18.293743,0.917280,66,2.863220,13.668
66,3,1.329994,0.630892,18.214643,0.916500,67,2.886780,13.688
67,1,1.657681,0.602192,18.313904,0.917849,68,2.875000,13.493
68,0,1.330009,0.568556,18.494163,0.917240,69,2.892456,42.245
69,3,1.496388,0.489317,18.962680,0.917450,70,2.857544,13.606
70,0,1.812324,0.467074,19.113712,0.917353,71,2.904236,13.785
71,2,1.450549,0.495712,18.957165,0.916836,72,2.917908,13.420
72,2,1.339476,0.501236,19.126776,0.916346,73,2.890564,13.584
73,2,1.693327,0.672400,19.090774,0.917156,74,2.904236,49.908
74,0,1.665721,0.588433,18.953252,0.917126,75,2.843872,13.475
75,3,1.640777,0.482829,18.777953,0.917000,76,2.904236,13.335
76,2,1.739706,0.505939,18.826301,0.917418,77,2.933472,13.417
77,0,1.452257,0.506588,18.602393,0.917232,78,2.904236,13.402
78,2,1.608717,0.556605,18.832364,0.917746,79,2.906128,45.968
79,2,1.712962,0.710601,18.578289,0.917062,80,2.826416,13.370
80,0,1.465741,0.641077,18.430794,0.917327,81,2.947144,13.525
81,3,1.451806,0.623943,18.378365,0.917463,82,2.919800,13.468
82,2,1.447046,0.611160,18.700754,0.916900,83,2.890564,14.218
83,3,1.203284,0.572430,18.678227,0.917892,84,2.919800,45.970
84,0,1.364529,0.514957,18.931149,0.917321,85,2.902344,13.500
85,0,1.511550,0.490583,18.800867,0.917188,86,2.890564,13.364
86,1,1.519178,0.414210,18.703954,0.917084,87,2.919800,13.412
87,2,1.679916,0.452535,18.657244,0.917960,88,2.919800,14.120
88,2,1.634674,0.520511,18.465623,0.917479,89,2.890564,13.431
89,1,1.693677,0.525422,18.383469,0.917801,90,2.904236,13.331
90,3,1.622244,0.469294,18.307575,0.917766,91,2.904236,13.641
91,3,1.622805,0.455384,18.481218,0.917913,92,2.919800,13.518
92,0,1.308270,0.515792,18.291226,0.917718,93,2.878784,13.505
93,3,1.970812,0.623194,18.212782,0.918355,94,2.917908,13.444
94,3,1.804660,0.645067,18.162676,0.918029,95,2.919800,13.468
95,3,1.648184,0.569127,17.983981,0.917154,96,2.892456,13.434
96,3,1.709048,0.489309,17.881414,0.917262,97,2.890564,13.355
97,3,1.591421,0.573248,18.253405,0.916885,98,2.892456,13.593
98,1,1.945589,0.578317,18.377866,0.917536,99,2.917908,13.499
99,3,1.836445,0.498348,18.305346,0.917085,100,2.888672,13.627
100,0,1.413457,0.479214,19.770984,0.916353,101,2.847656,14.161
101,2,1.261692,0.556645,19.667038,0.917525,102,2.800964,14.018
102,0,1.748675,0.484753,19.656451,0.916412,103,2.919800,13.921
103,1,1.768179,0.478694,19.674729,0.916893,104,2.890564,14.264
104,0,1.646479,0.552086,19.834626,0.916988,105,2.931580,13.895
105,1,1.432419,0.592443,19.893117,0.916081,106,2.888672,13.867
106,0,1.799532,0.610852,19.789947,0.916187,107,2.826416,42.361
107,2,0.965305,0.617966,19.612750,0.916210,108,2.904236,13.819
108,0,1.272576,0.616352,19.849221,0.916495,109,2.876892,13.800
109,0,1.461428,0.604687,19.752976,0.915870,110,2.916016,13.570
110,1,1.469915,0.515917,19.824613,0.916330,111,2.890564,13.795
111,1,1.199636,0.513732,20.158610,0.917091,112,2.826416,46.036
112,1,1.918083,0.498489,20.052059,0.915928,113,2.904236,13.618
113,0,1.592572,0.494876,20.246638,0.916759,114,2.892456,13.569
114,0,1.608989,0.614632,20.253729,0.916430,115,2.875000,13.667
115,2,1.553117,0.741655,20.118375,0.916085,116,2.875000,13.657
116,2,1.261245,0.642818,20.029856,0.916637,117,2.875000,50.051
117,3,1.441543,0.594232,19.765838,0.917360,118,2.919800,13.593
118,3,1.131199,0.506808,19.669287,0.916291,119,2.894348,13.634
