step,action,action_bin,action_vec_norm,free_energy,confidence,obs_norm,frame_mean,beta,info_gain
67,0,5,2.166827,36.501121,0.902511,1.000000,7.631531,0.973270,0.588935
68,2,6,2.355458,36.509500,0.902843,1.000000,7.631531,0.972874,0.402639
69,0,5,2.454611,36.596122,0.902107,1.000000,7.631531,0.972478,0.594261
70,3,2,2.528436,36.786574,0.902799,1.000000,7.631531,0.972082,0.777776
71,0,3,2.452601,37.001408,0.902514,1.000000,7.631531,0.971686,0.558774
72,0,4,2.360985,36.942642,0.902569,1.000000,7.631531,0.971290,0.309057
73,1,6,2.193669,37.130850,0.902435,1.000000,7.631531,0.970894,0.486096
74,0,5,1.785823,37.453224,0.902595,1.000000,7.631531,0.970498,0.600577
75,0,2,2.671730,37.374344,0.902517,1.000000,7.631531,0.970102,0.899997
76,0,5,2.435938,37.515407,0.903207,1.000000,7.631531,0.969706,0.741077
77,1,7,2.270770,37.494266,0.902710,1.000000,7.631531,0.969310,0.505573
78,1,6,2.286168,37.647196,0.902213,1.000000,7.631531,0.968914,0.633353
79,0,4,2.116793,37.775456,0.902368,1.000000,7.631531,0.968518,0.318797
80,0,5,2.351481,37.562800,0.903202,1.000000,7.631531,0.968122,0.740565
81,3,2,2.541751,37.769375,0.902557,1.000000,7.631531,0.967726,1.097403
82,3,4,1.943775,37.988343,0.903143,1.000000,7.631531,0.967330,0.316393
83,1,0,2.618176,38.099683,0.902197,1.000000,7.631531,0.966934,0.805919
84,0,3,2.343944,38.097366,0.902851,1.000000,7.631531,0.966538,0.730552
85,1,0,2.335501,37.891763,0.902787,1.000000,7.631531,0.966142,0.873515
86,0,5,2.553541,37.934777,0.902934,1.000000,7.631531,0.965746,0.780692
87,1,1,2.502047,38.023322,0.902779,1.000000,7.631531,0.965350,0.992809
88,0,5,2.521479,38.089816,0.903051,1.000000,7.631531,0.964954,0.807112
89,0,4,2.178803,37.948756,0.902480,1.000000,7.631531,0.964558,0.310680
90,0,5,2.276084,37.809584,0.902496,1.000000,7.631531,0.964162,0.684975
91,2,6,2.229880,37.832196,0.902498,1.000000,7.631531,0.963766,0.649302
92,0,2,2.574017,37.855357,0.902607,1.000000,7.631531,0.963370,0.527312
93,0,3,2.789997,37.643157,0.902296,1.000000,7.631531,0.962974,0.989055
94,1,6,2.702078,37.838071,0.902502,1.000000,7.631531,0.962578,0.575938
95,0,3,2.413298,37.890044,0.902900,1.000000,7.631531,0.962182,0.961022
96,1,6,2.159458,37.894662,0.902692,1.000000,7.631531,0.961786,0.514706
97,3,3,2.230079,37.949552,0.902459,1.000000,7.631531,0.961390,0.797470
98,0,3,2.303836,38.076565,0.902750,1.000000,7.631531,0.960994,0.576861
99,3,2,2.133707,38.137618,0.903124,1.000000,7.631531,0.960598,0.499562
100,1,0,2.373453,38.488877,0.903238,1.000000,7.631531,0.960202,0.913709
101,1,6,2.395112,38.195930,0.902492,1.000000,7.631531,0.959806,0.436580
102,0,4,2.044057,38.075713,0.902611,1.000000,7.631531,0.959410,0.313263
103,0,3,2.797218,37.813210,0.902876,1.000000,7.631531,0.959014,0.525280
104,0,4,2.574912,37.737950,0.902430,1.000000,7.631531,0.958618,0.421653
105,0,2,2.264572,37.770861,0.902046,1.000000,7.631531,0.958222,0.478972
106,0,3,2.403138,37.729180,0.902489,1.000000,7.631531,0.957826,0.477644
107,1,6,2.264306,37.835132,0.903158,1.000000,7.631531,0.957430,0.398658
108,3,1,2.050025,37.697628,0.902509,1.000000,7.631531,0.957034,0.946518
109,1,0,2.425772,37.837051,0.902863,1.000000,7.631531,0.956638,0.745774
110,0,3,2.070351,37.681774,0.902539,1.000000,7.631531,0.956242,0.619123
111,0,4,2.615425,38.009139,0.902878,1.000000,7.631531,0.955846,0.517822
112,3,1,2.172902,38.225811,0.902197,1.000000,7.631531,0.955450,0.935710
113,0,5,2.349013,38.168670,0.902479,1.000000,7.631531,0.955054,0.359467
114,0,2,2.352133,38.158259,0.902738,1.000000,7.631531,0.954658,0.423518
115,3,2,2.298005,38.152561,0.902748,1.000000,7.631531,0.954262,0.424666
116,0,4,2.244547,38.099399,0.902840,1.000000,7.631531,0.953866,0.522973
117,1,6,2.551804,38.348664,0.902210,1.000000,7.631531,0.953470,0.451462
118,1,6,2.679933,38.478789,0.902834,1.000000,7.631531,0.953074,0.540811
119,0,3,2.316586,38.645867,0.902794,1.000000,7.631531,0.952678,0.529237
120,0,3,2.555877,38.436765,0.902779,1.000000,7.631531,0.952282,0.551218
121,3,2,2.558859,38.337766,0.902488,1.000000,7.631531,0.951886,0.476763
122,1,6,2.438397,38.399849,0.902826,1.000000,7.631531,0.951490,0.518830
123,1,7,2.537019,38.295739,0.902494,1.000000,7.631531,0.951094,0.418356
124,0,5,2.646861,38.204284,0.902908,1.000000,7.631531,0.950698,0.363316
125,0,2,2.018442,38.296946,0.902064,1.000000,7.631531,0.950302,0.432694
126,0,5,2.564517,38.090822,0.902523,1.000000,7.631531,0.949906,0.356011
127,0,4,2.695233,37.854871,0.902950,1.000000,7.631531,0.949510,0.527776
128,3,2,2.484454,38.096211,0.902428,1.000000,7.631531,0.949114,0.428293
129,0,5,2.270148,37.975868,0.902873,1.000000,7.631531,0.948718,0.403940
130,1,0,2.262180,38.033612,0.902572,1.000000,7.631531,0.948322,0.836819
131,0,4,2.248124,37.967674,0.902766,1.000000,7.631531,0.947926,0.561744
132,1,6,2.510789,37.672790,0.902505,1.000000,7.631531,0.947530,0.504193
133,1,1,2.277143,37.835168,0.902476,1.000000,7.631531,0.947134,0.585686
134,1,0,2.231446,37.981618,0.902475,1.000000,7.631531,0.946738,0.808384
135,0,4,2.478776,38.173713,0.902477,1.000000,7.631531,0.946342,0.478287
136,0,5,2.705135,38.122481,0.902815,1.000000,7.631531,0.945946,0.533616
137,3,4,2.087087,37.988455,0.902540,1.000000,7.631531,0.945550,0.582403
138,0,5,2.474108,38.222647,0.902517,1.000000,7.631531,0.945154,0.556895
139,0,3,1.925617,38.270386,0.902442,1.000000,7.631531,0.944758,0.614160
140,1,6,2.720375,38.209936,0.902906,1.000000,7.631531,0.944362,0.495295
141,0,3,2.816280,38.197687,0.902493,1.000000,7.631531,0.943966,0.628707
142,0,2,1.937831,38.265966,0.902163,1.000000,7.631531,0.943570,0.541700
143,2,6,2.299854,38.268331,0.902256,1.000000,7.631531,0.943174,0.413104
144,0,4,2.469113,38.205718,0.902365,1.000000,7.631531,0.942778,0.603367
145,0,5,2.534639,38.205927,0.902206,1.000000,7.631531,0.942382,0.488742
146,0,3,2.389892,38.187597,0.902742,1.000000,7.631531,0.941986,0.614938
147,0,5,2.339332,37.953076,0.902849,1.000000,7.631531,0.941590,0.456894
148,0,4,2.475887,37.969817,0.902799,1.000000,7.631531,0.941194,0.449108
149,0,5,2.753500,37.936188,0.902704,1.000000,7.631531,0.940798,0.410740
150,1,6,2.656580,37.789835,0.902603,1.000000,7.631531,0.940402,0.348942
151,0,3,2.356194,37.735030,0.902579,1.000000,7.631531,0.940006,0.662941
152,0,5,2.280640,37.579907,0.902533,1.000000,7.631531,0.939610,0.485881
153,0,3,2.360208,37.894641,0.902105,1.000000,7.631531,0.939214,0.594876
154,0,5,2.622534,37.960528,0.902168,1.000000,7.631531,0.938818,0.486412
155,0,4,2.520281,37.937781,0.902415,1.000000,7.631531,0.938422,0.416163
156,3,2,2.392737,37.853906,0.902790,1.000000,7.631531,0.938026,0.525532
157,0,5,2.687885,37.749164,0.902338,1.000000,7.631531,0.937630,0.440485
158,1,0,2.436632,37.711184,0.902840,1.000000,7.631531,0.937234,0.810629
159,1,1,2.248676,38.141019,0.902431,1.000000,7.631531,0.936838,0.547044
160,1,6,2.113982,38.085805,0.902188,1.000000,7.631531,0.936442,0.529276
161,0,5,2.218763,38.198165,0.902871,1.000000,7.631531,0.936046,0.448749
162,0,5,2.421006,38.428521,0.902411,1.000000,7.631531,0.935650,0.447547
163,1,6,2.468824,38.613544,0.902505,1.000000,7.631531,0.935254,0.556258
164,0,2,1.927696,38.757709,0.902777,1.000000,7.631531,0.934858,0.538476
165,0,5,2.293507,38.872922,0.902228,1.000000,7.631531,0.934462,0.497788
166,2,5,2.685536,38.679082,0.902543,1.000000,7.631531,0.934066,0.568982
167,3,1,2.788406,38.554459,0.902116,1.000000,7.631531,0.933670,0.664644
168,0,2,2.631467,38.589012,0.902089,1.000000,7.631531,0.933274,0.553601
169,0,5,2.296978,38.656604,0.902695,1.000000,7.631531,0.932878,0.447572
170,3,1,2.510633,38.635343,0.902823,1.000000,7.631531,0.932482,0.706643
171,3,1,2.502079,38.622398,0.902136,1.000000,7.631531,0.932086,0.716773
172,1,6,2.421930,38.491221,0.902571,1.000000,7.631531,0.931690,0.541701
173,1,1,2.204033,38.322049,0.902486,1.000000,7.631531,0.931294,0.715496
174,2,5,2.331671,38.332694,0.903194,1.000000,7.631531,0.930898,0.434634
175,1,0,2.929671,38.115184,0.902438,1.000000,7.631531,0.930502,0.770631
176,0,4,2.443774,38.443169,0.902849,1.000000,7.631531,0.930106,0.436889
177,0,5,2.697642,38.652392,0.902842,1.000000,7.631531,0.929710,0.528069
178,0,3,2.087914,38.894361,0.902755,1.000000,7.631531,0.929314,0.512692
179,0,3,2.306235,38.925767,0.902628,1.000000,7.631531,0.928918,0.533485
180,1,0,2.708229,39.107141,0.902959,1.000000,7.631531,0.928522,0.848828
181,3,1,2.579888,39.098250,0.902147,1.000000,7.631531,0.928126,0.782191
182,0,3,2.272756,39.054019,0.902197,1.000000,7.631531,0.927730,0.416599
183,0,2,2.424645,39.083334,0.902586,1.000000,7.631531,0.927334,0.566784
