step,action,action_bin,action_vec_norm,free_energy,confidence,obs_norm,frame_mean,beta,info_gain,last_sleep_round,last_sleep_delta_fe,last_sleep_replayed
53,1,7,2.605320,35.983011,0.902685,1.000000,7.631531,0.894070,0.907697,-1,0.000000,0
54,0,4,2.677347,36.090297,0.902047,1.000000,7.631531,0.892090,1.096077,-1,0.000000,0
55,1,6,1.948007,35.926219,0.902801,1.000000,7.631531,0.890110,0.593003,-1,0.000000,0
56,3,1,1.955665,35.985706,0.902907,1.000000,7.631531,0.888130,0.646201,-1,0.000000,0
57,1,0,2.312590,36.051338,0.902560,1.000000,7.631531,0.886150,0.344088,-1,0.000000,0
58,1,7,2.582544,36.153946,0.902635,1.000000,7.631531,0.884170,0.899665,-1,0.000000,0
59,0,4,2.472095,36.294379,0.903278,1.000000,7.631531,0.882190,0.927202,-1,0.000000,0
60,0,4,2.331850,36.357735,0.902569,1.000000,7.631531,0.880210,0.902349,-1,0.000000,0
61,0,4,2.312824,36.534180,0.902087,1.000000,7.631531,0.878230,0.506413,-1,0.000000,0
62,0,3,2.397430,36.697507,0.902705,1.000000,7.631531,0.876250,0.562363,-1,0.000000,0
63,1,0,2.589158,36.958510,0.902432,1.000000,7.631531,0.874270,0.652438,-1,0.000000,0
64,1,7,2.461983,36.865133,0.902508,1.000000,7.631531,0.872290,0.757987,-1,0.000000,0
65,1,0,2.452164,36.613076,0.902781,1.000000,7.631531,0.870310,0.609149,-1,0.000000,0
66,2,6,2.352171,36.485381,0.902816,1.000000,7.631531,0.868330,0.433845,-1,0.000000,0
67,0,5,2.166707,36.502221,0.902511,1.000000,7.631531,0.866350,0.585216,-1,0.000000,0
68,2,6,2.355773,36.510392,0.902436,1.000000,7.631531,0.864370,0.427727,-1,0.000000,0
69,0,5,2.454943,36.597198,0.902107,1.000000,7.631531,0.862390,0.603037,-1,0.000000,0
70,3,2,2.528521,36.787398,0.902810,1.000000,7.631531,0.860410,0.829383,-1,0.000000,0
71,0,3,2.452918,37.002164,0.902514,1.000000,7.631531,0.858430,0.625927,-1,0.000000,0
72,0,4,2.361005,36.943168,0.902569,1.000000,7.631531,0.856450,0.306220,-1,0.000000,0
73,1,6,2.193445,37.131341,0.902435,1.000000,7.631531,0.854470,0.522727,-1,0.000000,0
74,0,5,1.785853,37.453574,0.902599,1.000000,7.631531,0.852490,0.603494,-1,0.000000,0
75,0,2,2.671535,37.374883,0.902517,1.000000,7.631531,0.850510,0.974887,-1,0.000000,0
76,0,5,2.436139,37.516005,0.903207,1.000000,7.631531,0.848530,0.773113,-1,0.000000,0
77,1,7,2.270555,37.494863,0.902709,1.000000,7.631531,0.846550,0.558223,-1,0.000000,0
78,1,6,2.286288,37.647785,0.902185,1.000000,7.631531,0.844570,0.633326,-1,0.000000,0
79,0,4,2.116747,37.776004,0.902368,1.000000,7.631531,0.842590,0.317530,-1,0.000000,0
80,0,5,2.351556,37.563459,0.903202,1.000000,7.631531,0.840610,0.807176,-1,0.000000,0
81,3,2,2.541768,37.770015,0.902558,1.000000,7.631531,0.838630,1.182497,-1,0.000000,0
82,3,4,1.944076,37.989566,0.902869,1.000000,7.631531,0.836650,0.213351,-1,0.000000,0
83,1,0,2.618754,38.100943,0.902197,1.000000,7.631531,0.834670,0.840198,-1,0.000000,0
84,0,3,2.343723,38.098847,0.902852,1.000000,7.631531,0.832690,0.785212,-1,0.000000,0
85,1,0,2.335364,37.893268,0.902787,1.000000,7.631531,0.830710,0.888825,-1,0.000000,0
86,0,5,2.553453,37.936465,0.902934,1.000000,7.631531,0.828730,0.832336,-1,0.000000,0
87,1,1,2.501692,38.025326,0.902779,1.000000,7.631531,0.826750,1.039796,-1,0.000000,0
88,0,5,2.521075,38.091811,0.903044,1.000000,7.631531,0.824770,0.807294,-1,0.000000,0
89,0,4,2.179479,37.950884,0.902480,1.000000,7.631531,0.822790,0.340532,-1,0.000000,0
90,0,5,2.275814,37.811592,0.902496,1.000000,7.631531,0.820810,0.685110,-1,0.000000,0
91,2,6,2.230075,37.834198,0.902498,1.000000,7.631531,0.818830,0.649158,-1,0.000000,0
92,0,2,2.574507,37.857157,0.902593,1.000000,7.631531,0.816850,0.527647,-1,0.000000,0
93,0,3,2.790801,37.644546,0.902716,1.000000,7.631531,0.814870,0.989731,-1,0.000000,0
94,1,6,2.701708,37.839960,0.902109,1.000000,7.631531,0.812890,0.575876,-1,0.000000,0
95,0,3,2.413464,37.891573,0.902895,1.000000,7.631531,0.810910,0.961639,-1,0.000000,0
96,1,6,2.158997,37.896216,0.902688,1.000000,7.631531,0.808930,0.514702,-1,0.000000,0
97,3,3,2.230309,37.951001,0.902459,1.000000,7.631531,0.806950,0.798113,-1,0.000000,0
98,0,3,2.304137,38.077975,0.902750,1.000000,7.631531,0.804970,0.577006,-1,0.000000,0
99,3,2,2.133236,38.139396,0.902849,1.000000,7.631531,0.802990,0.499835,-1,0.000000,0
100,1,0,2.373414,38.491840,0.902845,1.000000,7.631531,0.801010,0.914325,-1,0.000000,0
101,1,6,2.395524,38.198550,0.902493,1.000000,7.631531,0.799030,0.437074,-1,0.000000,0
102,0,4,2.043458,38.078652,0.902612,1.000000,7.631531,0.797050,0.310285,-1,0.000000,0
103,0,3,2.796961,37.816432,0.902488,1.000000,7.631531,0.795070,0.525198,-1,0.000000,0
104,0,4,2.575550,37.741823,0.902542,1.000000,7.631531,0.793090,0.423219,-1,0.000000,0
105,0,2,2.267048,37.775009,0.902042,1.000000,7.631531,0.791110,0.478624,-1,0.000000,0
106,0,3,2.403408,37.733782,0.902480,1.000000,7.631531,0.789130,0.477288,-1,0.000000,0
107,1,6,2.264120,37.839259,0.902765,1.000000,7.631531,0.787150,0.399204,-1,0.000000,0
108,3,1,2.050409,37.700785,0.902784,1.000000,7.631531,0.785170,0.972925,-1,0.000000,0
109,1,0,2.424768,37.840115,0.902568,1.000000,7.631531,0.783190,0.746634,-1,0.000000,0
110,0,3,2.069580,37.684600,0.902538,1.000000,7.631531,0.781210,0.619186,-1,0.000000,0
111,0,4,2.616265,38.011991,0.902878,1.000000,7.631531,0.779230,0.519386,-1,0.000000,0
112,3,1,2.173415,38.227980,0.902562,1.000000,7.631531,0.777250,0.936076,-1,0.000000,0
113,0,5,2.348243,38.170857,0.902488,1.000000,7.631531,0.775270,0.359726,-1,0.000000,0
114,0,2,2.354028,38.160205,0.902738,1.000000,7.631531,0.773290,0.423847,-1,0.000000,0
115,3,2,2.298170,38.154623,0.902748,1.000000,7.631531,0.771310,0.424965,-1,0.000000,0
116,0,4,2.244747,38.101534,0.902829,1.000000,7.631531,0.769330,0.524418,-1,0.000000,0
117,1,6,2.551654,38.351009,0.902210,1.000000,7.631531,0.767350,0.452281,-1,0.000000,0
118,1,6,2.679159,38.481262,0.902845,1.000000,7.631531,0.765370,0.540987,-1,0.000000,0
119,0,3,2.316683,38.648424,0.902840,1.000000,7.631531,0.763390,0.529543,-1,0.000000,0
120,0,3,2.557713,38.438716,0.903173,1.000000,7.631531,0.761410,0.552450,-1,0.000000,0
121,3,2,2.559591,38.340125,0.902489,1.000000,7.631531,0.759430,0.477164,-1,0.000000,0
122,1,6,2.438035,38.402047,0.903101,1.000000,7.631531,0.757450,0.519148,-1,0.000000,0
123,1,7,2.536833,38.297576,0.902494,1.000000,7.631531,0.755470,0.418057,-1,0.000000,0
124,0,5,2.647132,38.205965,0.902638,1.000000,7.631531,0.753490,0.364004,-1,0.000000,0
125,0,2,2.018269,38.298477,0.902058,1.000000,7.631531,0.751510,0.433334,-1,0.000000,0
126,0,5,2.563730,38.092346,0.902523,1.000000,7.631531,0.749530,0.356509,-1,0.000000,0
