step,nav_action,nav_action_name,action_vec_norm,free_energy,prediction_error,confidence,obs_norm,pos_before,pos_after,wrapped,beta,info_gain,text_preview,buffer_size_after,in_consolidation,delta_fe_consolidation
144,0,forward,1.979688,0.000292,0.307897,0.917075,0.178498,6528,6656,0,0.824770,0.482208,model was extended,145,0,0.000000
145,4,stay,1.692355,0.000283,0.306165,0.917097,0.178498,6656,6656,0,0.823780,0.363636,model was extended,146,0,0.000000
146,1,backward,1.834546,0.000409,0.356331,0.917382,0.229475,6656,6528,1,0.822790,0.296214,tatistics of the tex,147,0,0.000000
147,3,fast_backward,1.183369,0.000330,0.322965,0.916717,0.199703,6528,6016,1,0.821800,0.410197,del has no pretraine,148,0,0.000000
148,1,backward,1.516185,0.000268,0.332557,0.917948,0.191817,6016,5888,1,0.820810,0.345937,roject tests whether,149,0,0.000000
149,3,fast_backward,1.094876,0.000512,0.370935,0.917555,0.248801,5888,5376,1,0.819820,0.442005,ation of the text lo,150,0,0.000000
150,0,forward,1.527878,0.000315,0.306585,0.916904,0.177647,5376,5504,0,0.818830,0.385486,of the text. If it r,151,0,0.000000
151,3,fast_backward,1.869790,0.000396,0.344076,0.917117,0.217535,5504,4992,1,0.817840,0.382715,tive reading phase c,152,0,0.000000
152,3,fast_backward,1.810980,0.000597,0.380443,0.917185,0.260843,4992,4480,1,0.816850,0.463118,the free energy ref,153,0,0.000000
153,4,stay,1.877363,0.000574,0.382693,0.917397,0.260843,4480,4480,0,0.815860,0.280944,the free energy ref,154,0,0.000000
154,0,forward,1.366891,0.000403,0.359895,0.917472,0.231827,4480,4608,0,0.814870,0.412017,"ics of the text, fre",155,0,0.000000
155,2,fast_forward,1.610478,0.000316,0.310339,0.916645,0.183160,4608,5120,0,0.813880,0.336606,fixed-length charac,156,0,0.000000
156,4,stay,2.138629,0.000307,0.308844,0.916818,0.183160,5120,5120,0,0.812890,0.500299,fixed-length charac,157,0,0.000000
157,3,fast_backward,1.534531,0.000413,0.358334,0.917533,0.231827,5120,4608,1,0.811900,0.254041,"ics of the text, fre",158,0,0.000000
158,2,fast_forward,1.679988,0.000303,0.308681,0.916876,0.183160,4608,5120,0,0.810910,0.416503,fixed-length charac,159,0,0.000000
159,0,forward,1.195806,0.000295,0.342897,0.917439,0.201111,5120,5248,0,0.809920,0.437917,ervation vector usin,160,0,0.000000
160,0,forward,1.260519,0.000504,0.374281,0.917289,0.248801,5248,5376,0,0.808930,0.412431,ation of the text lo,161,0,0.000000
161,4,stay,1.714721,0.000492,0.376062,0.917483,0.248801,5376,5376,0,0.807940,0.488432,ation of the text lo,162,0,0.000000
162,1,backward,1.450340,0.000286,0.346506,0.917402,0.201111,5376,5248,1,0.806950,0.382251,ervation vector usin,163,0,0.000000
163,2,fast_forward,1.768172,0.000301,0.337764,0.917924,0.189174,5248,5760,0,0.805960,0.321672,prediction error. Co,164,0,0.000000
164,1,backward,1.863601,0.000356,0.308519,0.916515,0.179660,5760,5632,1,0.804970,0.401793,ditional diagnostic,165,0,0.000000
165,0,forward,1.348133,0.000297,0.333580,0.917771,0.189174,5632,5760,0,0.803980,0.455715,prediction error. Co,166,0,0.000000
166,3,fast_backward,1.554541,0.000293,0.341660,0.917642,0.201111,5760,5248,1,0.802990,0.255630,ervation vector usin,167,0,0.000000
167,0,forward,1.731908,0.000507,0.372859,0.917712,0.248801,5248,5376,0,0.802000,0.331709,ation of the text lo,168,0,0.000000
168,3,fast_backward,1.752106,0.000448,0.342872,0.917154,0.212515,5376,4864,1,0.801010,0.401746,nfamiliar passages o,169,0,0.000000
169,0,forward,1.823876,0.000401,0.346691,0.917187,0.217535,4864,4992,0,0.800020,0.491910,tive reading phase c,170,0,0.000000
170,1,backward,2.060045,0.000445,0.342042,0.917341,0.212515,4992,4864,1,0.799030,0.514370,nfamiliar passages o,171,0,0.000000
171,1,backward,1.340414,0.000268,0.312651,0.917061,0.181195,4864,4736,1,0.798040,0.483569,was extended with a,172,0,0.000000
172,0,forward,1.500539,0.000445,0.340015,0.917293,0.212515,4736,4864,0,0.797050,0.447364,nfamiliar passages o,173,0,0.000000
173,3,fast_backward,1.726787,0.000354,0.339996,0.917392,0.212722,4864,4352,1,0.796060,0.441819,o minimise free ener,174,0,0.000000
174,1,backward,1.663005,0.000275,0.328085,0.917184,0.199042,4352,4224,1,0.795070,0.331329,om scratch. Active i,175,0,0.000000
175,1,backward,0.965972,0.000298,0.321656,0.917101,0.194548,4224,4096,1,0.794080,0.480973,s no pretrained embe,176,0,0.000000
176,1,backward,1.710350,0.000288,0.330563,0.917343,0.197040,4096,3968,1,0.793090,0.319408,tests whether a fre,177,0,0.000000
177,4,stay,1.617710,0.000287,0.330351,0.917471,0.197040,3968,3968,0,0.792100,0.307884,tests whether a fre,178,0,0.000000
178,0,forward,1.546051,0.000296,0.320562,0.916862,0.194548,3968,4096,0,0.791110,0.298732,s no pretrained embe,179,0,0.000000
179,1,backward,1.538916,0.000287,0.329603,0.917807,0.197040,4096,3968,1,0.790120,0.463886,tests whether a fre,180,0,0.000000
180,1,backward,1.623429,0.000298,0.332635,0.917713,0.192127,3968,3840,1,0.789130,0.220970,tion error. Cognitiv,181,0,0.000000
181,4,stay,1.592844,0.000294,0.331933,0.917810,0.192127,3840,3840,0,0.788140,0.429569,tion error. Cognitiv,182,0,0.000000
182,4,stay,1.420507,0.000291,0.331287,0.917541,0.192127,3840,3840,0,0.787150,0.221670,tion error. Cognitiv,183,0,0.000000
183,2,fast_forward,2.224330,0.000359,0.336661,0.917322,0.212722,3840,4352,0,0.786160,0.538693,o minimise free ener,184,0,0.000000
184,0,forward,1.260417,0.000615,0.378375,0.917332,0.260843,4352,4480,0,0.785170,0.430954,the free energy ref,185,0,0.000000
185,2,fast_forward,1.533173,0.000407,0.343413,0.917108,0.217535,4480,4992,0,0.784180,0.396612,tive reading phase c,186,0,0.000000
186,0,forward,1.701190,0.000319,0.304706,0.917200,0.183160,4992,5120,0,0.783190,0.221388,fixed-length charac,187,0,0.000000
187,3,fast_backward,1.707313,0.000428,0.353877,0.917334,0.231827,5120,4608,1,0.782200,0.330082,"ics of the text, fre",188,0,0.000000
188,3,fast_backward,1.408493,0.000297,0.322102,0.917002,0.194548,4608,4096,1,0.781210,0.365879,s no pretrained embe,189,0,0.000000
189,3,fast_backward,1.642219,0.000371,0.296200,0.916948,0.169433,4096,3584,1,0.780220,0.522722,text. If it remains,190,0,0.000000
190,4,stay,1.708898,0.000354,0.293793,0.917160,0.169433,3584,3584,0,0.779230,0.406806,text. If it remains,191,0,0.000000
191,4,stay,1.584152,0.000340,0.291665,0.916658,0.169433,3584,3584,0,0.778240,0.259510,text. If it remains,192,0,0.000000
192,1,backward,1.287639,0.000679,0.375364,0.917616,0.262342,3584,3456,1,0.777250,0.328794,of the text loop foc,193,0,0.000000
193,3,fast_backward,1.716145,0.000466,0.344238,0.917351,0.219011,3456,2944,1,0.776260,0.311215,iar passages or re-r,194,0,0.000000
194,4,stay,1.599951,0.000461,0.344409,0.917334,0.219011,2944,2944,0,0.775270,0.516539,iar passages or re-r,195,0,0.000000
195,2,fast_forward,2.039372,0.000645,0.378115,0.917715,0.262342,2944,3456,0,0.774280,0.415151,of the text loop foc,196,0,0.000000
196,4,stay,2.000715,0.000622,0.380719,0.917385,0.262342,3456,3456,0,0.773290,0.355719,of the text loop foc,197,0,0.000000
197,2,fast_forward,1.809582,0.000284,0.334042,0.917584,0.197040,3456,3968,0,0.772300,0.267522,tests whether a fre,198,0,0.000000
198,1,backward,1.390803,0.000290,0.336777,0.918010,0.192127,3968,3840,1,0.771310,0.354537,tion error. Cognitiv,199,0,0.000000
199,4,stay,1.353369,0.000287,0.335769,0.917957,0.192127,3840,3840,0,0.770320,0.277639,tion error. Cognitiv,200,1,0.000069
200,1,backward,1.788413,0.000351,0.308189,0.916466,0.185869,3840,3712,1,0.737650,0.573444,al diagnostic signal,201,0,0.000000
