step,action,action_vec_norm,obs_norm,free_energy,confidence,cycle_count,frame_mean,elapsed_ms
0,2,1.248425,0.516117,9.895697,0.896090,1,2.919800,21.723
1,2,1.501282,0.583705,26.910225,0.916552,2,2.875000,13.514
2,1,1.543809,0.475967,26.233707,0.916769,3,2.890564,13.332
3,1,1.426821,0.606013,23.603673,0.916834,4,2.902344,13.700
4,1,1.675511,0.654486,22.760433,0.917767,5,2.947144,13.500
5,3,1.296913,0.630979,19.880077,0.916825,6,2.921692,48.411
6,0,1.817144,0.581047,18.122563,0.916778,7,2.890564,13.690
7,3,1.668708,0.432962,17.554217,0.916802,8,2.890564,13.342
8,0,1.577334,0.610846,17.680281,0.916277,9,2.904236,13.302
9,0,1.608887,0.599189,17.876158,0.916202,10,2.890564,13.348
10,3,2.047352,0.640418,17.927786,0.916840,11,2.919800,46.182
11,3,1.899073,0.613203,18.009934,0.916377,12,2.892456,13.420
12,2,1.722673,0.601858,18.019090,0.916085,13,2.875000,13.290
13,3,1.457417,0.538232,17.449117,0.916861,14,2.902344,13.677
14,2,1.785090,0.648553,17.102591,0.915891,15,2.906128,13.679
15,0,1.403216,0.619744,16.669020,0.915456,16,2.875000,44.431
16,0,1.866929,0.466531,16.317702,0.916691,17,2.861328,13.624
17,2,1.362306,0.654603,16.570810,0.916645,18,2.904236,13.552
18,2,1.833498,0.531755,16.497422,0.917190,19,2.888672,13.534
19,3,1.148664,0.596187,16.134591,0.917117,20,2.847656,13.562
20,2,1.083298,0.367589,15.632461,0.917923,21,2.845764,48.900
21,3,1.727662,0.472091,15.504707,0.916158,22,2.904236,14.036
22,3,1.826889,0.468589,15.552955,0.919039,23,2.812744,13.726
23,3,2.006797,0.524465,15.588736,0.917862,24,2.904236,13.404
24,2,1.569087,0.430368,15.692437,0.917402,25,2.876892,13.367
25,2,1.609150,0.483791,15.380072,0.917492,26,2.863220,45.620
26,3,1.774382,0.500240,15.466713,0.916834,27,2.892456,13.351
27,3,1.832943,0.563106,15.342261,0.917178,28,2.853760,13.357
28,2,1.592739,0.649725,15.396416,0.917607,29,2.875000,14.450
29,3,2.037902,0.499966,15.273914,0.915824,30,2.847656,13.405
30,3,1.655024,0.539238,15.362101,0.917182,31,2.876892,44.450
31,2,1.550055,0.465394,15.329396,0.916826,32,2.933472,13.489
32,3,1.943349,0.469721,15.101183,0.916505,33,2.904236,13.461
33,3,1.299289,0.570766,15.014546,0.917415,34,2.933472,13.366
34,2,1.860330,0.655899,14.949105,0.917714,35,2.890564,13.588
35,3,1.758566,0.539976,14.858322,0.917908,36,2.890564,13.469
36,3,1.898692,0.496690,14.819626,0.917663,37,2.933472,40.765
37,2,1.646814,0.530527,14.882825,0.917414,38,2.921692,15.173
38,2,1.246091,0.574513,15.006214,0.917366,39,2.917908,13.321
39,2,1.805623,0.627099,15.165199,0.916753,40,2.876892,13.280
40,3,1.790071,0.732072,15.097833,0.917172,41,2.919800,13.345
41,3,1.448488,0.715854,15.063234,0.916433,42,2.904236,44.503
42,0,1.795540,0.755560,15.140443,0.916839,43,2.878784,13.340
43,2,1.318810,0.626358,15.306243,0.916560,44,2.890564,13.246
44,0,2.056321,0.506194,15.337109,0.917367,45,2.888672,13.279
45,0,1.602863,0.532145,15.619123,0.917365,46,2.890564,48.382
46,3,1.191138,0.495597,15.754761,0.917291,47,2.906128,13.438
47,2,1.523602,0.537308,16.289298,0.916851,48,2.892456,14.025
48,0,1.750275,0.507612,16.476847,0.917107,49,2.876892,13.371
49,1,1.971873,0.678894,16.330217,0.916821,50,2.826416,13.287
50,1,1.676399,0.669780,16.115143,0.917156,51,2.892456,45.175
51,1,2.568733,0.621136,16.214891,0.917359,52,2.900452,13.388
52,2,1.380586,0.625894,16.342536,0.916487,53,2.906128,13.528
53,0,1.096791,0.515367,16.505012,0.916742,54,2.904236,13.370
54,1,1.544242,0.355516,16.404589,0.916594,55,2.843872,13.299
55,3,1.221961,0.387106,16.566691,0.916229,56,2.904236,13.315
56,3,1.667397,0.489738,16.684149,0.916945,57,2.931580,45.223
57,1,1.469668,0.472445,17.251355,0.917147,58,2.906128,13.965
