step,modality,h_phys_norm,h_text_norm,h_fused_norm,pred_error,W_pt_norm,W_tp_norm,belief_norm,free_energy
720,text,0.879778,0.259508,0.624733,0.029334,9.720685,15.000000,0.187602,0.005032
721,text,0.791134,0.277579,0.568061,0.069219,9.726063,15.000000,0.185798,0.004346
722,text,0.857090,0.277935,0.605522,0.049048,9.734276,15.000000,0.186362,0.004816
723,text,0.878646,0.288705,0.660176,0.038520,9.741239,15.000000,0.181259,0.006240
724,text,0.730007,0.246406,0.514104,0.050097,9.744244,15.000000,0.180749,0.003462
725,physics,0.817478,0.277579,0.598997,0.013097,9.747724,15.000000,0.173650,0.005261
726,physics,0.777628,0.277935,0.532312,0.015799,9.750301,15.000000,0.169435,0.003964
727,text,0.805206,0.252998,0.570353,0.029885,9.757644,15.000000,0.164876,0.004577
728,physics,0.754642,0.252998,0.531381,0.014291,9.762874,15.000000,0.164869,0.003839
729,text,0.890740,0.277579,0.620325,0.051751,9.765580,15.000000,0.165377,0.005348
730,physics,0.826518,0.252998,0.604732,0.014330,9.772614,15.000000,0.163936,0.005146
731,text,0.860524,0.277579,0.663676,0.069715,9.783813,15.000000,0.168756,0.005850
732,physics,0.696533,0.277579,0.519376,0.020750,9.797423,15.000000,0.171378,0.003513
733,physics,0.853286,0.246406,0.609343,0.027640,9.814814,15.000000,0.181480,0.004539
734,text,0.812333,0.263089,0.569226,0.025678,9.834133,15.000000,0.173110,0.004705
735,text,0.778463,0.288705,0.558023,0.028350,9.834431,15.000000,0.170535,0.004382
736,text,0.944507,0.277579,0.676360,0.054263,9.841785,15.000000,0.170867,0.006353
737,physics,0.790447,0.277935,0.590350,0.011792,9.849026,15.000000,0.178987,0.004285
738,text,0.819215,0.277935,0.634212,0.042825,9.860537,15.000000,0.188699,0.004952
739,physics,0.807414,0.277579,0.613903,0.014474,9.861593,15.000000,0.179129,0.005528
740,physics,0.765164,0.252998,0.565474,0.016959,9.869077,15.000000,0.175501,0.004395
741,text,0.849138,0.288705,0.636380,0.023884,9.881576,15.000000,0.173961,0.005714
742,text,0.888577,0.277935,0.623742,0.024532,9.890732,15.000000,0.179719,0.005048
743,physics,0.793147,0.246406,0.565165,0.011363,9.891966,15.000000,0.167193,0.004738
744,text,0.866922,0.263089,0.620042,0.036169,9.893037,15.000000,0.161929,0.005526
745,physics,0.841256,0.277935,0.591774,0.019316,9.902536,15.000000,0.163439,0.004793
746,text,0.897210,0.277935,0.673274,0.038957,9.907227,15.000000,0.166541,0.006088
747,physics,0.888195,0.246406,0.649700,0.023815,9.910031,15.000000,0.168217,0.005796
748,physics,0.842945,0.277579,0.579182,0.013066,9.913586,15.000000,0.168956,0.004503
749,physics,0.748441,0.246406,0.523569,0.015774,9.913253,15.000000,0.165692,0.003918
750,text,0.747594,0.277935,0.536203,0.033133,9.918482,15.000000,0.165314,0.003949
751,text,0.710496,0.253229,0.518455,0.034118,9.918670,15.000000,0.167531,0.003533
752,text,0.879746,0.250363,0.616004,0.059236,9.921021,15.000000,0.166633,0.005232
753,text,0.827658,0.288705,0.592859,0.027445,9.922922,15.000000,0.161679,0.005080
754,physics,0.894743,0.277579,0.693616,0.034817,9.930474,15.000000,0.169528,0.006334
755,text,0.813181,0.277935,0.587323,0.041910,9.933574,15.000000,0.173461,0.004543
756,physics,0.875494,0.277935,0.604006,0.012676,9.930212,15.000000,0.168015,0.005309
757,physics,0.721445,0.250363,0.481405,0.014770,9.936954,15.000000,0.163166,0.003281
758,physics,0.725380,0.277579,0.510615,0.014440,9.944426,15.000000,0.161429,0.003644
759,text,0.935882,0.252998,0.699144,0.033874,9.946876,15.000000,0.166146,0.006733
760,text,0.800772,0.252998,0.562223,0.031829,9.944974,15.000000,0.163384,0.004476
761,text,0.811205,0.263089,0.634170,0.030353,9.953686,15.000000,0.165217,0.005490
762,physics,0.971957,0.253229,0.709050,0.027832,9.963036,15.000000,0.170841,0.006754
763,physics,0.765910,0.263089,0.577729,0.015840,9.966468,15.000000,0.173250,0.004441
764,text,0.830557,0.263089,0.598972,0.034972,9.968461,15.000000,0.171838,0.004967
765,physics,0.646767,0.277579,0.472376,0.015911,9.975228,15.000000,0.162800,0.003358
766,physics,0.814243,0.252998,0.605171,0.024549,9.978498,15.000000,0.172280,0.004544
767,text,0.860681,0.246406,0.595050,0.050184,9.988227,15.000000,0.176307,0.004695
768,physics,0.706105,0.277579,0.528642,0.010132,9.991326,15.000000,0.168703,0.004167
769,text,0.834866,0.246406,0.569731,0.068961,9.994841,15.000000,0.160217,0.004849
770,physics,0.854917,0.263089,0.672324,0.020132,10.006886,15.000000,0.167437,0.005998
771,physics,0.806575,0.288705,0.596419,0.013793,10.010409,15.000000,0.158655,0.005373
772,text,0.849194,0.277935,0.626164,0.040396,10.019782,15.000000,0.161945,0.005389
773,physics,0.843111,0.263089,0.634923,0.016021,10.021978,15.000000,0.163194,0.005583
774,text,0.871530,0.246406,0.627611,0.047794,10.027952,15.000000,0.168299,0.005293
775,physics,0.842707,0.263534,0.635155,0.027761,10.046530,15.000000,0.169703,0.005630
776,text,0.909381,0.277935,0.686706,0.051404,10.045868,15.000000,0.171456,0.006398
777,text,0.756928,0.253229,0.487194,0.027901,10.043030,15.000000,0.165693,0.003392
778,text,0.819290,0.253229,0.636876,0.032485,10.045092,15.000000,0.164896,0.005503
779,physics,0.848577,0.246406,0.618843,0.012371,10.045016,15.000000,0.164319,0.005267
780,text,0.804849,0.246406,0.626773,0.043121,10.051922,15.000000,0.168217,0.005309
781,physics,0.718038,0.263089,0.547221,0.022037,10.065924,15.000000,0.168763,0.004037
782,text,0.901957,0.246406,0.658006,0.054876,10.077315,15.000000,0.179317,0.005438
783,text,0.854679,0.252998,0.578483,0.026756,10.075916,15.000000,0.165616,0.005068
784,physics,0.870253,0.263089,0.676684,0.013965,10.084213,15.000000,0.174468,0.005874
785,physics,0.850003,0.277935,0.650076,0.019585,10.094608,15.000000,0.185364,0.005216
786,text,0.709780,0.253229,0.530257,0.021878,10.110232,15.000000,0.189327,0.003476
787,physics,0.875732,0.277579,0.617717,0.021727,10.115169,15.000000,0.189624,0.005011
788,physics,0.877039,0.252998,0.627888,0.019454,10.116454,15.000000,0.180468,0.005799
789,physics,0.771868,0.277935,0.544692,0.015599,10.117477,15.000000,0.174305,0.004249
790,physics,0.839418,0.277935,0.597374,0.028427,10.121313,15.000000,0.163207,0.005310
791,text,0.771971,0.263089,0.522717,0.030161,10.119075,15.000000,0.152964,0.004134
792,text,0.791428,0.277579,0.579258,0.064687,10.120317,15.000000,0.157495,0.004474
793,physics,0.810649,0.277935,0.597553,0.027096,10.138069,15.000000,0.154239,0.005113
794,text,0.910675,0.246406,0.636088,0.056140,10.145749,15.000000,0.160582,0.005425
795,text,0.765890,0.263089,0.547354,0.031050,10.149381,15.000000,0.157644,0.004268
796,physics,0.732773,0.277579,0.542522,0.016607,10.150767,15.000000,0.157817,0.003958
797,physics,0.801154,0.277579,0.579744,0.017500,10.155368,15.000000,0.170625,0.003923
798,physics,0.824792,0.277579,0.659023,0.016721,10.159069,15.000000,0.175083,0.005658
799,text,0.836889,0.259508,0.625806,0.018944,10.168046,15.000000,0.176056,0.005282
800,text,0.779768,0.277935,0.536248,0.032093,10.372721,15.000000,0.173534,0.003819
801,text,0.818386,0.277579,0.618648,0.043052,10.374045,15.000000,0.167761,0.005480
802,physics,0.806587,0.263089,0.602676,0.010705,10.380520,15.000000,0.168957,0.004844
803,physics,0.842945,0.277579,0.585498,0.014122,10.384847,15.000000,0.169790,0.004528
804,physics,0.952587,0.263089,0.723660,0.038308,10.402734,15.000000,0.170621,0.007204
805,physics,0.842645,0.277579,0.621487,0.027568,10.404909,15.000000,0.175966,0.004871
806,text,0.737520,0.277579,0.526352,0.034521,10.409213,15.000000,0.167001,0.003887
807,text,0.800271,0.252998,0.571502,0.032656,10.413980,15.000000,0.163042,0.004616
808,physics,0.707740,0.252998,0.510761,0.027050,10.419549,15.000000,0.154621,0.003886
809,physics,0.815331,0.263089,0.595793,0.016304,10.420166,15.000000,0.155284,0.004908
810,physics,0.916229,0.277579,0.635054,0.028780,10.423267,15.000000,0.147300,0.005904
811,text,0.731855,0.288705,0.513474,0.028933,10.422032,15.000000,0.138407,0.003889
812,physics,0.782527,0.263089,0.571212,0.018660,10.428886,15.000000,0.136242,0.004640
813,physics,0.819642,0.277579,0.547038,0.017694,10.431506,15.000000,0.135014,0.004101
814,text,0.789338,0.277579,0.555794,0.036657,10.434922,15.000000,0.140322,0.004152
815,text,0.859399,0.252998,0.615256,0.034985,10.437802,15.000000,0.141858,0.005266
816,text,0.747022,0.277579,0.538528,0.036261,10.444637,15.000000,0.141629,0.003989
817,physics,0.891687,0.252998,0.601170,0.028133,10.450029,15.000000,0.144993,0.004951
818,text,0.845733,0.288705,0.658626,0.016640,10.454248,15.000000,0.158923,0.005300
819,physics,0.897210,0.277935,0.679682,0.027909,10.459693,15.000000,0.165314,0.006053
820,text,0.775596,0.277935,0.561243,0.030265,10.460374,15.000000,0.162107,0.004405
821,physics,0.829339,0.263089,0.630531,0.016546,10.465593,15.000000,0.156792,0.005746
822,physics,0.843738,0.252998,0.615998,0.020428,10.466541,15.000000,0.151868,0.005453
823,physics,0.688146,0.288705,0.502031,0.011910,10.469246,15.000000,0.144848,0.003649
824,physics,0.718450,0.263089,0.524674,0.011656,10.469005,15.000000,0.145038,0.003795
825,physics,0.767126,0.259508,0.585865,0.019568,10.474550,15.000000,0.152090,0.004491
826,text,0.769330,0.277935,0.592022,0.033951,10.481849,15.000000,0.155998,0.004723
827,physics,0.785904,0.288705,0.564505,0.016467,10.482319,15.000000,0.150651,0.004621
828,physics,0.785585,0.253229,0.603979,0.019339,10.486460,15.000000,0.160005,0.004625
829,physics,0.851848,0.277579,0.666832,0.030534,10.500027,15.000000,0.157626,0.006297
830,text,0.796525,0.288705,0.589237,0.023918,10.497225,15.000000,0.158062,0.004738
831,physics,0.786326,0.277579,0.599979,0.011538,10.496559,15.000000,0.158700,0.004868
832,text,0.759985,0.277579,0.556557,0.038168,10.502195,15.000000,0.148732,0.004583
833,physics,0.803802,0.263089,0.596526,0.014990,10.503295,15.000000,0.153229,0.004838
834,physics,0.855349,0.277579,0.624712,0.019455,10.508708,15.000000,0.156443,0.005244
835,text,0.805981,0.277935,0.620311,0.030119,10.521073,15.000000,0.155627,0.005370
836,text,0.772901,0.277579,0.562600,0.035565,10.527557,15.000000,0.157905,0.004289
837,text,0.846302,0.263089,0.624665,0.031312,10.535283,15.000000,0.164481,0.005164
838,text,0.858523,0.277579,0.632793,0.040359,10.546146,15.000000,0.164650,0.005568
839,text,0.777078,0.252998,0.535128,0.036977,10.552185,15.000000,0.160845,0.004094
840,physics,0.857760,0.263089,0.621745,0.023842,10.557898,15.000000,0.161490,0.005528
841,physics,0.952751,0.277579,0.685574,0.031097,10.563004,15.000000,0.159932,0.006686
842,text,0.943663,0.288705,0.737734,0.025905,10.565847,15.000000,0.166241,0.007343
843,text,0.897745,0.277579,0.685785,0.039756,10.575833,15.000000,0.165205,0.006468
844,text,0.799857,0.252998,0.579990,0.030670,10.586799,15.000000,0.172169,0.004322
845,physics,0.857064,0.252998,0.625247,0.019713,10.595592,15.000000,0.177825,0.005135
846,text,0.962998,0.252998,0.708435,0.040199,10.595563,15.000000,0.175527,0.007051
847,physics,1.001985,0.277935,0.736736,0.027048,10.598400,15.000000,0.174954,0.007582
848,text,0.792195,0.277579,0.622334,0.047716,10.607006,15.000000,0.181146,0.005034
849,physics,0.713684,0.250363,0.496345,0.013142,10.605408,15.000000,0.178562,0.003341
850,physics,0.719400,0.277579,0.542838,0.018949,10.617496,15.000000,0.173301,0.004226
851,physics,0.763834,0.277579,0.581866,0.021325,10.626737,15.000000,0.170509,0.004659
852,text,0.629744,0.252998,0.450838,0.026363,10.626680,15.000000,0.164262,0.002895
853,physics,0.765478,0.277935,0.582515,0.033898,10.638090,15.000000,0.175358,0.004034
854,physics,0.816021,0.277579,0.607926,0.042766,10.655816,15.000000,0.179820,0.004844
855,text,0.814200,0.252998,0.623352,0.037391,10.663802,15.000000,0.179307,0.005297
856,text,0.887474,0.263089,0.642494,0.030651,10.673055,15.000000,0.178311,0.005668
857,physics,1.035132,0.263089,0.752571,0.032423,10.683207,15.000000,0.187870,0.007282
858,physics,0.765658,0.246406,0.565568,0.017357,10.690591,15.000000,0.176095,0.004854
859,text,0.694881,0.288705,0.511192,0.024663,10.687595,15.000000,0.168927,0.003764
860,text,0.779738,0.263534,0.588801,0.040637,10.697216,15.000000,0.164253,0.005005
861,text,0.787904,0.277935,0.598345,0.032874,10.703493,15.000000,0.162042,0.005071
862,physics,0.845603,0.277579,0.623195,0.025287,10.709858,15.000000,0.162131,0.005376
863,physics,0.823186,0.277579,0.603635,0.025245,10.713929,15.000000,0.170919,0.004647
864,physics,0.965965,0.277579,0.741324,0.027472,10.716251,15.000000,0.169639,0.007638
865,text,0.664130,0.288705,0.482412,0.020232,10.717167,15.000000,0.165177,0.003238
866,physics,0.743678,0.246406,0.542003,0.027139,10.725058,15.000000,0.159459,0.004278
867,text,0.841745,0.252998,0.616420,0.030551,10.727090,15.000000,0.159839,0.005242
868,physics,0.742655,0.252998,0.535843,0.021706,10.736181,15.000000,0.161283,0.003862
869,text,0.840550,0.263089,0.575043,0.033101,10.735197,15.000000,0.154203,0.004894
870,text,0.805381,0.252998,0.637236,0.024949,10.739360,15.000000,0.159935,0.005508
871,text,0.717662,0.277579,0.536586,0.045292,10.747614,15.000000,0.160046,0.003903
872,text,0.719219,0.252998,0.564436,0.025841,10.767227,15.000000,0.166360,0.004115
873,physics,0.943761,0.277579,0.718372,0.037252,10.781518,15.000000,0.162312,0.007445
874,text,0.861255,0.277579,0.602947,0.051027,10.784587,15.000000,0.158223,0.005186
875,physics,0.758411,0.252998,0.573686,0.020488,10.789716,15.000000,0.152960,0.004786
876,text,0.914310,0.263089,0.706839,0.037255,10.797829,15.000000,0.170380,0.006293
877,text,0.710662,0.288705,0.568423,0.029440,10.800804,15.000000,0.165000,0.004710
878,text,0.842094,0.252998,0.634634,0.036120,10.806362,15.000000,0.170758,0.005311
879,text,0.838823,0.277935,0.664191,0.042092,10.813434,15.000000,0.172150,0.006027
880,physics,0.816679,0.252998,0.602848,0.037703,10.822546,15.000000,0.173320,0.004943
881,physics,0.673349,0.288705,0.516606,0.020932,10.833889,15.000000,0.167055,0.003904
882,physics,0.800763,0.252998,0.559480,0.012389,10.832658,15.000000,0.165761,0.004207
883,text,0.894014,0.277579,0.643229,0.048763,10.834506,15.000000,0.161460,0.006032
884,text,0.861418,0.277579,0.640325,0.054173,10.837802,15.000000,0.160090,0.005897
885,physics,0.731609,0.246406,0.538784,0.029218,10.852820,15.000000,0.159717,0.004065
886,text,0.803641,0.288705,0.612826,0.029692,10.860169,15.000000,0.166654,0.004909
887,physics,0.698631,0.288705,0.568442,0.029299,10.876418,15.000000,0.174187,0.003999
888,text,0.709186,0.263089,0.481372,0.027243,10.880138,15.000000,0.169735,0.003207
889,text,0.864038,0.277579,0.646350,0.047879,10.889292,15.000000,0.168538,0.005888
890,physics,0.787061,0.252998,0.540746,0.025714,10.899035,15.000000,0.160091,0.004343
891,text,0.861568,0.288705,0.656027,0.026076,10.912059,15.000000,0.168587,0.005709
892,physics,0.835953,0.246406,0.642933,0.012911,10.912016,15.000000,0.174090,0.005420
893,physics,0.880750,0.277935,0.681644,0.025214,10.920057,15.000000,0.179234,0.006139
894,physics,0.740542,0.277579,0.554891,0.021046,10.932469,15.000000,0.174327,0.004276
895,text,0.888623,0.288705,0.657298,0.023861,10.937854,15.000000,0.172632,0.006172
896,text,0.834309,0.263089,0.639450,0.031268,10.940312,15.000000,0.180356,0.005172
897,physics,0.848652,0.277579,0.667002,0.024623,10.951860,15.000000,0.184212,0.005934
898,physics,0.732299,0.277579,0.531248,0.010204,10.951816,15.000000,0.180887,0.003943
899,physics,0.845603,0.277579,0.625086,0.026378,10.958845,15.000000,0.175969,0.005616
900,text,0.808285,0.288705,0.558488,0.028942,11.188677,15.000000,0.174669,0.004171
901,physics,0.942942,0.252998,0.677355,0.041679,11.198256,15.000000,0.177714,0.006137
902,text,0.754502,0.250363,0.561547,0.066664,11.201535,15.000000,0.169744,0.004712
903,physics,0.978433,0.277935,0.765275,0.029858,11.209647,15.000000,0.178158,0.007813
904,physics,0.982557,0.252998,0.752909,0.029826,11.213003,15.000000,0.187185,0.007365
905,text,0.813476,0.263534,0.536837,0.041490,11.218140,15.000000,0.173123,0.004527
906,text,0.892228,0.259508,0.693657,0.028948,11.227513,15.000000,0.176958,0.006658
907,physics,0.796674,0.277935,0.632810,0.024110,11.235897,15.000000,0.179548,0.005287
908,physics,0.848050,0.252998,0.618432,0.018951,11.236974,15.000000,0.166743,0.005762
909,physics,0.782494,0.252998,0.574581,0.018797,11.241822,15.000000,0.163464,0.004677
910,physics,0.746830,0.277579,0.567022,0.022445,11.254183,15.000000,0.161779,0.004435
911,physics,0.839699,0.288705,0.625783,0.019582,11.254993,15.000000,0.168694,0.005053
912,physics,0.743959,0.288705,0.547613,0.015948,11.252913,15.000000,0.155203,0.004548
913,physics,0.882100,0.263089,0.658791,0.027769,11.262650,15.000000,0.153595,0.006211
914,physics,0.744061,0.277579,0.565522,0.021019,11.264099,15.000000,0.150390,0.004514
915,text,0.732424,0.252998,0.544833,0.028219,11.270290,15.000000,0.153723,0.004011
916,physics,0.718450,0.263089,0.529537,0.013811,11.270441,15.000000,0.152111,0.003943
917,text,0.767978,0.246406,0.535425,0.054564,11.278411,15.000000,0.157224,0.003756
918,text,0.861211,0.246406,0.563252,0.068118,11.287936,15.000000,0.151422,0.004715
919,physics,0.762472,0.288705,0.617698,0.011757,11.291291,15.000000,0.147590,0.005483
920,physics,0.687687,0.288705,0.510009,0.022356,11.304740,15.000000,0.156010,0.003199
921,text,0.760142,0.263534,0.547857,0.030575,11.311224,15.000000,0.147182,0.004506
922,text,0.763373,0.252998,0.562561,0.027637,11.328160,15.000000,0.145365,0.004446
923,physics,0.885996,0.250363,0.640155,0.039760,11.337692,15.000000,0.154540,0.005388
924,physics,0.831784,0.263089,0.579486,0.023468,11.341591,15.000000,0.145571,0.005030
925,text,0.771811,0.252998,0.550032,0.028021,11.340876,15.000000,0.146146,0.004165
926,text,0.819781,0.252998,0.607564,0.026741,11.344134,15.000000,0.146426,0.005080
927,text,0.862907,0.252998,0.681172,0.026943,11.346501,15.000000,0.156288,0.006186
928,physics,0.731095,0.277579,0.504938,0.029406,11.352155,15.000000,0.151606,0.003721
929,text,0.654363,0.277935,0.496005,0.036010,11.360460,15.000000,0.147460,0.003533
930,text,0.913899,0.277579,0.700821,0.066297,11.373524,15.000000,0.151960,0.006790
931,text,0.893335,0.288705,0.712919,0.034818,11.378298,15.000000,0.155663,0.007082
932,physics,0.762472,0.288705,0.618300,0.011771,11.382290,15.000000,0.163511,0.004930
933,physics,0.732258,0.252998,0.510746,0.032207,11.385502,15.000000,0.156003,0.003880
934,text,0.793380,0.263089,0.595525,0.032407,11.391036,15.000000,0.157436,0.004837
935,physics,0.812222,0.277935,0.623274,0.021762,11.391474,15.000000,0.157709,0.005450
936,physics,0.778604,0.252998,0.568480,0.023913,11.400033,15.000000,0.159041,0.004381
937,text,0.901150,0.263089,0.670864,0.026059,11.402224,15.000000,0.162811,0.006118
938,text,0.949147,0.263089,0.707791,0.022094,11.401538,15.000000,0.169314,0.006759
939,text,0.888909,0.288705,0.695460,0.036033,11.411651,15.000000,0.166360,0.006911
940,text,0.822593,0.259508,0.601873,0.025914,11.415950,15.000000,0.166771,0.005103
941,text,0.845733,0.288705,0.665908,0.017346,11.421152,15.000000,0.176324,0.005529
942,physics,0.752197,0.252998,0.568612,0.043855,11.438467,15.000000,0.173960,0.004472
943,text,0.743952,0.263089,0.573797,0.025426,11.445344,15.000000,0.167400,0.004707
944,text,0.813470,0.252998,0.593186,0.023206,11.451262,15.000000,0.159199,0.005313
945,text,0.723346,0.263089,0.542671,0.022347,11.459485,15.000000,0.155564,0.004212
946,text,0.877103,0.263089,0.651257,0.028720,11.462880,15.000000,0.160196,0.005802
947,physics,0.827871,0.263089,0.619564,0.028296,11.473895,15.000000,0.164196,0.005024
948,physics,0.841507,0.277579,0.623429,0.025200,11.480475,15.000000,0.163268,0.005430
949,physics,0.805206,0.252998,0.585934,0.027901,11.491017,15.000000,0.166943,0.004526
950,physics,0.707340,0.252998,0.520700,0.024282,11.502250,15.000000,0.157960,0.004053
951,physics,0.792481,0.259508,0.546946,0.029282,11.504152,15.000000,0.147058,0.004594
952,physics,0.764856,0.277935,0.623532,0.050913,11.523149,15.000000,0.158934,0.004930
953,text,0.820529,0.277579,0.632374,0.063562,11.528435,15.000000,0.159413,0.005552
954,physics,0.851214,0.277579,0.614190,0.022553,11.532594,15.000000,0.154798,0.005497
955,physics,0.805397,0.252998,0.616332,0.029482,11.546781,15.000000,0.161989,0.004961
956,text,0.831533,0.277935,0.657480,0.035889,11.554307,15.000000,0.170634,0.005576
957,physics,0.758300,0.263089,0.535732,0.016114,11.553886,15.000000,0.158399,0.004405
958,text,0.779738,0.263534,0.593939,0.031353,11.564948,15.000000,0.156222,0.005063
959,text,0.744329,0.277935,0.553478,0.033173,11.565574,15.000000,0.157626,0.004146
960,physics,0.844559,0.263089,0.640399,0.023198,11.573705,15.000000,0.163606,0.005466
961,physics,0.728385,0.263089,0.546604,0.012236,11.576978,15.000000,0.160428,0.004238
962,physics,0.793147,0.246406,0.577160,0.015649,11.579290,15.000000,0.165997,0.004285
963,text,0.812222,0.277935,0.624479,0.041537,11.580483,15.000000,0.163254,0.005528
964,text,0.705993,0.263089,0.541519,0.018563,11.593895,15.000000,0.162427,0.003923
965,text,0.755311,0.277579,0.596795,0.058379,11.593740,15.000000,0.167582,0.004709
966,text,0.879746,0.250363,0.630212,0.051318,11.597273,15.000000,0.167686,0.005433
967,text,0.811545,0.277579,0.621820,0.058523,11.600487,15.000000,0.175349,0.005008
968,text,0.779371,0.277579,0.602173,0.051814,11.615082,15.000000,0.170111,0.005192
969,physics,0.850795,0.288705,0.622209,0.032332,11.625695,15.000000,0.168521,0.005330
970,physics,0.916009,0.288705,0.683035,0.032613,11.630200,15.000000,0.150479,0.007379
971,physics,0.763705,0.288705,0.601922,0.021783,11.632477,15.000000,0.148773,0.005194
972,physics,0.874221,0.277579,0.664789,0.032070,11.638504,15.000000,0.153853,0.006122
973,text,0.765164,0.252998,0.579725,0.031563,11.648726,15.000000,0.161602,0.004231
974,physics,0.857717,0.263089,0.631169,0.037085,11.655826,15.000000,0.166956,0.005232
975,physics,0.678287,0.277579,0.534756,0.019255,11.663010,15.000000,0.166909,0.003816
976,text,0.806633,0.252998,0.566085,0.031261,11.671159,15.000000,0.168756,0.004253
977,physics,0.796434,0.288705,0.580151,0.026263,11.678491,15.000000,0.168489,0.004630
978,text,0.791335,0.252998,0.617697,0.030220,11.684636,15.000000,0.160005,0.005609
979,physics,0.775121,0.246406,0.557751,0.019569,11.687990,15.000000,0.162484,0.004109
980,physics,0.715398,0.263089,0.548489,0.021031,11.694812,15.000000,0.164064,0.003935
981,physics,0.913899,0.277579,0.703115,0.036685,11.708968,15.000000,0.154422,0.007311
982,text,0.743553,0.252998,0.540685,0.027962,11.708335,15.000000,0.151801,0.004166
983,text,0.767060,0.288705,0.574567,0.025084,11.709262,15.000000,0.146519,0.004643
984,text,0.913899,0.277579,0.703381,0.060336,11.724339,15.000000,0.154935,0.006591
985,physics,0.863558,0.263089,0.644162,0.020302,11.726293,15.000000,0.155782,0.005786
986,physics,0.621592,0.246406,0.470215,0.035178,11.739162,15.000000,0.153971,0.003011
987,physics,0.834053,0.277935,0.601164,0.019088,11.743513,15.000000,0.155836,0.004987
988,physics,0.856200,0.252998,0.605314,0.024823,11.747597,15.000000,0.153291,0.005173
989,text,0.760463,0.250363,0.543826,0.047254,11.750785,15.000000,0.146463,0.004407
990,text,0.845976,0.259508,0.637808,0.023719,11.755011,15.000000,0.149000,0.005666
991,physics,0.824758,0.288705,0.600370,0.016912,11.756507,15.000000,0.150498,0.004971
992,physics,0.772046,0.277935,0.576829,0.020262,11.760302,15.000000,0.143386,0.004893
993,physics,0.742358,0.263089,0.553995,0.027820,11.776370,15.000000,0.145236,0.004159
994,text,0.759985,0.277579,0.565532,0.054627,11.783842,15.000000,0.135665,0.004765
995,text,0.848148,0.263089,0.653498,0.031378,11.797949,15.000000,0.143766,0.005697
996,text,0.806246,0.252998,0.565318,0.029942,11.802777,15.000000,0.142078,0.004434
997,text,0.816420,0.263089,0.613259,0.028921,11.812080,15.000000,0.133309,0.005628
998,physics,0.737173,0.263089,0.535228,0.016330,11.818729,15.000000,0.140931,0.003689
999,text,0.714637,0.252998,0.507984,0.021828,11.822054,15.000000,0.142196,0.003487
1000,text,0.747022,0.277579,0.549579,0.059099,12.094201,15.000000,0.145939,0.004035
1001,physics,0.781488,0.288705,0.602081,0.015005,12.094035,15.000000,0.150025,0.005008
1002,text,0.901536,0.277579,0.705711,0.057501,12.099375,15.000000,0.155543,0.006653
1003,text,0.766529,0.277579,0.582352,0.055374,12.102423,15.000000,0.150414,0.004842
1004,physics,0.673891,0.277579,0.537006,0.012240,12.105158,15.000000,0.162142,0.003446
1005,physics,0.757599,0.252998,0.582699,0.034713,12.114160,15.000000,0.167780,0.004411
1006,physics,0.773263,0.252998,0.546739,0.011405,12.110650,15.000000,0.157553,0.004524
1007,physics,0.767795,0.252998,0.596004,0.030439,12.114119,15.000000,0.152534,0.005239
1008,text,0.738585,0.252998,0.590011,0.025744,12.132243,15.000000,0.164507,0.004183
1009,text,0.780841,0.277579,0.582283,0.059847,12.134567,15.000000,0.162143,0.004755
1010,physics,0.827122,0.277579,0.647794,0.019933,12.137363,15.000000,0.161232,0.005975
1011,text,0.700530,0.252998,0.508785,0.031167,12.138782,15.000000,0.155844,0.003709
1012,physics,0.709871,0.246406,0.498016,0.036572,12.146251,15.000000,0.145559,0.003860
1013,physics,0.854880,0.288705,0.641319,0.025808,12.150192,15.000000,0.151056,0.005583
1014,text,0.923978,0.277579,0.664212,0.063753,12.167199,15.000000,0.165883,0.005368
1015,text,0.882276,0.252998,0.685680,0.038279,12.177383,15.000000,0.171766,0.006167
1016,physics,0.779596,0.252998,0.612914,0.027044,12.187376,15.000000,0.163092,0.005491
1017,physics,0.856434,0.253229,0.634067,0.026480,12.191440,15.000000,0.154338,0.005986
1018,physics,0.713051,0.252998,0.542038,0.031834,12.198168,15.000000,0.154117,0.003946
1019,physics,0.652873,0.277935,0.510703,0.016493,12.200328,15.000000,0.156947,0.003375
1020,physics,0.872095,0.263089,0.647050,0.020355,12.204320,15.000000,0.150397,0.006180
1021,text,0.876813,0.246406,0.647881,0.042622,12.210909,15.000000,0.154953,0.005613
1022,physics,0.806998,0.277579,0.602289,0.016122,12.213159,15.000000,0.152128,0.005084
1023,physics,0.822963,0.252998,0.616985,0.053152,12.232642,15.000000,0.154725,0.005169
1024,text,0.813087,0.252998,0.594669,0.025310,12.243097,15.000000,0.152306,0.004965
1025,text,0.708911,0.246406,0.508785,0.046271,12.245694,15.000000,0.151667,0.003519
1026,text,0.782568,0.259508,0.591265,0.022853,12.255458,15.000000,0.153534,0.004871
1027,physics,0.828585,0.252998,0.658207,0.021674,12.257904,15.000000,0.151921,0.006256
1028,physics,0.798016,0.277579,0.591988,0.032570,12.268730,15.000000,0.151616,0.004909
1029,physics,0.851848,0.277579,0.678541,0.044945,12.287374,15.000000,0.169625,0.005689
1030,physics,0.828381,0.288705,0.625318,0.018852,12.286159,15.000000,0.173287,0.005248
1031,text,0.805902,0.263089,0.566838,0.030879,12.285533,15.000000,0.166030,0.004626
