step,modality,h_phys_norm,h_text_norm,h_fused_norm,pred_error,W_pt_norm,W_tp_norm,belief_norm,free_energy
70,physics,0.771352,0.252998,0.357085,0.011665,7.811442,8.390113,0.158680,0.001665
71,physics,0.843417,0.263089,0.438431,0.010855,7.809452,8.401800,0.159762,0.002470
72,text,0.895529,0.288705,0.459256,0.012925,7.806930,8.412884,0.159995,0.002811
73,physics,0.834866,0.246406,0.421744,0.011709,7.802911,8.422564,0.151219,0.002685
74,physics,0.841992,0.252998,0.441242,0.010969,7.801804,8.438435,0.152594,0.002510
75,text,0.671538,0.263089,0.338170,0.007843,7.798415,8.450818,0.152979,0.001428
76,text,0.799642,0.263089,0.465799,0.010068,7.796046,8.460778,0.157563,0.002628
77,text,0.827835,0.263089,0.415808,0.010227,7.793262,8.467965,0.152198,0.002494
78,physics,0.811682,0.277935,0.375627,0.011778,7.792585,8.481880,0.144862,0.002141
79,text,0.865926,0.252998,0.478281,0.013957,7.789626,8.501211,0.150415,0.002899
80,text,0.747268,0.277935,0.385390,0.008672,7.786412,8.514047,0.153353,0.001800
81,physics,0.790356,0.277579,0.402378,0.010986,7.783066,8.524254,0.156734,0.001952
82,physics,0.771680,0.246406,0.373377,0.011652,7.779856,8.531239,0.155734,0.001829
83,physics,0.818489,0.246406,0.420762,0.012947,7.778033,8.540748,0.159107,0.002175
84,physics,0.882100,0.263089,0.466175,0.012672,7.776869,8.556941,0.158258,0.002957
85,physics,0.894566,0.288705,0.477875,0.011008,7.772898,8.570166,0.163992,0.002787
86,physics,0.829946,0.263089,0.397982,0.015297,7.771829,8.585819,0.156770,0.002356
87,text,0.798710,0.263089,0.371947,0.010437,7.768250,8.601116,0.153783,0.001864
88,physics,0.717236,0.277579,0.365101,0.006267,7.765212,8.614280,0.153203,0.001726
89,text,0.705163,0.277579,0.352864,0.008945,7.764888,8.630651,0.150508,0.001680
90,text,0.788522,0.277579,0.416734,0.010686,7.760973,8.644795,0.150453,0.002338
91,physics,0.678226,0.277579,0.345898,0.008891,7.760703,8.662480,0.151798,0.001500
92,physics,0.759335,0.263534,0.369396,0.011166,7.758520,8.672041,0.147116,0.001995
93,physics,0.776026,0.252998,0.410349,0.011774,7.757698,8.686285,0.144783,0.002402
94,text,0.762986,0.288705,0.385342,0.009199,7.753364,8.698564,0.148027,0.001852
95,text,0.808748,0.277935,0.388979,0.011263,7.753412,8.716760,0.151089,0.001889
96,physics,0.708869,0.252998,0.355373,0.006964,7.748592,8.734140,0.148314,0.001751
97,physics,0.824792,0.277579,0.469681,0.008295,7.746121,8.749180,0.150667,0.002866
98,physics,0.739023,0.263089,0.372824,0.010915,7.743001,8.773230,0.149318,0.001869
99,physics,0.727037,0.277579,0.379242,0.006280,7.740402,8.791583,0.148009,0.001928
100,text,0.891154,0.263089,0.483672,0.013054,7.686709,9.390641,0.151702,0.003048
101,physics,0.726462,0.259508,0.354146,0.007011,7.684119,9.403458,0.153317,0.001483
102,physics,0.767144,0.277579,0.366454,0.010106,7.681446,9.424495,0.152386,0.001732
103,text,0.776670,0.277579,0.367607,0.011280,7.676821,9.446654,0.148758,0.001910
104,text,0.765854,0.277935,0.377483,0.008821,7.675430,9.463267,0.149507,0.001838
105,text,0.745281,0.263534,0.408036,0.010695,7.674665,9.484840,0.146164,0.002393
106,physics,0.875949,0.277579,0.439202,0.011614,7.674369,9.509979,0.149473,0.002424
107,text,0.842719,0.252998,0.454820,0.012898,7.672475,9.537190,0.151028,0.002743
108,physics,0.877427,0.259508,0.516896,0.008477,7.669206,9.559402,0.159952,0.003230
109,text,0.792108,0.252998,0.395351,0.010177,7.669114,9.579583,0.160371,0.001929
110,text,0.799642,0.263089,0.457287,0.010142,7.668586,9.596600,0.163745,0.002525
111,text,0.821536,0.277579,0.420559,0.010476,7.668666,9.614384,0.163573,0.002232
112,text,0.693825,0.252998,0.389058,0.008245,7.666783,9.636646,0.162702,0.001954
113,physics,0.826121,0.263534,0.418546,0.009676,7.663821,9.657309,0.162561,0.002238
114,physics,0.782021,0.252998,0.436497,0.008957,7.662093,9.683125,0.165725,0.002356
115,text,0.777493,0.252998,0.394871,0.009632,7.662040,9.703326,0.166687,0.001981
116,physics,0.849057,0.277579,0.439672,0.012460,7.659514,9.726875,0.168716,0.002436
117,physics,0.690735,0.277935,0.396899,0.009065,7.658921,9.759132,0.165286,0.002178
118,text,0.796504,0.277579,0.423767,0.011849,7.655616,9.782627,0.166186,0.002323
119,text,0.719219,0.252998,0.417288,0.008474,7.655851,9.806756,0.170822,0.002069
120,text,0.816863,0.277579,0.415676,0.010751,7.656379,9.828067,0.173745,0.002087
121,text,0.860010,0.252998,0.455865,0.012908,7.657642,9.853074,0.173620,0.002647
122,text,0.763369,0.288705,0.354268,0.010895,7.654260,9.877310,0.167834,0.001781
123,text,0.758092,0.277935,0.399580,0.008915,7.651802,9.896467,0.171007,0.001874
124,physics,0.707095,0.252998,0.361276,0.006585,7.649487,9.923420,0.170612,0.001596
125,text,0.738585,0.252998,0.432013,0.009197,7.647573,9.950378,0.177831,0.001961
126,text,0.901346,0.263089,0.405359,0.012456,7.647445,9.971302,0.177576,0.002009
127,physics,0.913261,0.250363,0.518650,0.014743,7.644092,9.987454,0.173534,0.003748
128,text,0.894743,0.277579,0.497869,0.015004,7.641882,10.015909,0.181804,0.002861
129,physics,0.889189,0.263089,0.498886,0.011594,7.638146,10.041648,0.184853,0.003069
130,text,0.744141,0.259508,0.417627,0.010882,7.639432,10.069119,0.179305,0.002418
131,text,0.839823,0.263089,0.417639,0.011302,7.639413,10.091942,0.177687,0.002222
132,physics,0.762615,0.277579,0.416625,0.009729,7.636415,10.108784,0.178888,0.002174
133,text,0.812656,0.252998,0.353207,0.011354,7.632404,10.134343,0.175624,0.001667
134,text,0.786558,0.288705,0.438453,0.011079,7.631068,10.159455,0.175829,0.002416
135,physics,0.827871,0.263089,0.427674,0.008606,7.630466,10.180346,0.181942,0.001995
136,physics,0.794898,0.252998,0.447543,0.007224,7.628126,10.208451,0.185092,0.002365
137,physics,0.836395,0.277579,0.438465,0.014560,7.629410,10.228527,0.182820,0.002518
138,physics,0.811929,0.288705,0.431886,0.007330,7.628023,10.243759,0.181317,0.002426
139,text,0.852582,0.259508,0.486593,0.012291,7.626856,10.266778,0.179545,0.003179
140,text,0.717662,0.277579,0.393852,0.008432,7.627758,10.288868,0.176237,0.002068
141,physics,0.909229,0.277579,0.498686,0.012305,7.625079,10.314162,0.175336,0.003330
142,text,0.850795,0.288705,0.421318,0.013191,7.624822,10.339247,0.178221,0.002116
143,text,0.797966,0.250363,0.410818,0.012213,7.621640,10.362931,0.175964,0.002264
144,physics,0.802248,0.252998,0.420914,0.008161,7.621913,10.385971,0.177344,0.002197
145,text,0.915708,0.288705,0.449494,0.014586,7.624096,10.411221,0.175000,0.002730
146,physics,0.740990,0.246406,0.370746,0.008236,7.624853,10.425812,0.170178,0.001953
147,physics,0.713684,0.250363,0.379849,0.007759,7.621409,10.444150,0.169273,0.001861
148,text,0.721554,0.277935,0.412268,0.010017,7.619595,10.470549,0.171808,0.002105
149,physics,0.842623,0.277935,0.448102,0.010144,7.618451,10.493603,0.171791,0.002640
150,physics,0.778871,0.263089,0.406336,0.008598,7.617549,10.511890,0.176063,0.001914
151,text,0.799857,0.252998,0.406446,0.010157,7.619479,10.535697,0.177574,0.002024
152,physics,1.052490,0.277579,0.616888,0.017404,7.618775,10.562978,0.185239,0.004772
153,physics,0.754642,0.252998,0.378953,0.008343,7.619258,10.593902,0.183900,0.001804
154,text,0.646767,0.277579,0.339567,0.008760,7.619294,10.625680,0.178224,0.001593
155,text,0.843596,0.250363,0.426131,0.011357,7.617162,10.640390,0.178926,0.002301
156,text,0.918763,0.252998,0.483607,0.014028,7.616733,10.665583,0.174619,0.003304
157,physics,0.831861,0.252998,0.453508,0.009749,7.615346,10.694506,0.177098,0.002599
158,physics,0.860066,0.277579,0.497836,0.011359,7.613097,10.717286,0.176361,0.003372
159,physics,0.882595,0.277579,0.438853,0.012762,7.613326,10.747302,0.175090,0.002553
160,text,0.689851,0.288705,0.346052,0.008906,7.609909,10.773695,0.172787,0.001521
161,physics,0.806998,0.277579,0.427371,0.007920,7.608689,10.797831,0.171449,0.002435
162,text,0.876084,0.277579,0.494024,0.011291,7.610137,10.819778,0.172405,0.003282
163,text,0.962998,0.252998,0.508809,0.017481,7.606605,10.856271,0.167746,0.003734
164,physics,0.855349,0.277579,0.436954,0.012659,7.604626,10.882613,0.173960,0.002221
165,physics,0.785309,0.246406,0.421535,0.010686,7.604857,10.900374,0.172526,0.002356
166,text,0.818483,0.263089,0.393572,0.011037,7.603583,10.926194,0.173046,0.001926
167,text,0.864557,0.277579,0.496798,0.013520,7.599768,10.948243,0.174804,0.003228
168,physics,0.769983,0.252998,0.418680,0.010343,7.598274,10.970020,0.175695,0.002177
169,physics,0.800069,0.252998,0.438325,0.011501,7.597729,10.991409,0.174542,0.002551
170,text,0.740271,0.277579,0.392766,0.010107,7.597184,11.017759,0.176731,0.001829
171,physics,0.743122,0.252998,0.413139,0.009404,7.598003,11.049474,0.179325,0.002044
172,text,0.789239,0.253229,0.420885,0.011950,7.597859,11.081152,0.176497,0.002410
173,physics,0.788636,0.263534,0.428170,0.010420,7.596665,11.108210,0.169883,0.002698
174,physics,0.809874,0.246406,0.377488,0.013682,7.598302,11.131833,0.164974,0.002032
175,physics,0.862334,0.277579,0.505022,0.010884,7.596494,11.164072,0.163100,0.003552
176,physics,0.914631,0.250363,0.489693,0.013753,7.593933,11.189149,0.165016,0.003153
177,physics,0.761416,0.263089,0.382349,0.010059,7.594429,11.207968,0.162363,0.002002
178,physics,0.740759,0.288705,0.384538,0.007714,7.594660,11.228571,0.159794,0.002031
179,physics,0.849138,0.288705,0.459001,0.010471,7.596160,11.250659,0.159745,0.002874
180,physics,0.709852,0.277579,0.350455,0.009583,7.594851,11.270644,0.161038,0.001485
181,physics,0.752706,0.263089,0.376181,0.007505,7.592633,11.291809,0.159726,0.001870
182,text,0.819823,0.263089,0.399034,0.012189,7.591901,11.323463,0.162036,0.001954
183,physics,0.647818,0.252998,0.321365,0.006483,7.591188,11.345931,0.159068,0.001346
184,text,0.786057,0.277579,0.453242,0.013244,7.588427,11.382506,0.157519,0.002806
185,text,0.759724,0.259508,0.428014,0.011056,7.584899,11.411398,0.157438,0.002411
186,physics,0.810115,0.263089,0.352276,0.011221,7.583249,11.435820,0.154999,0.001636
187,physics,0.792371,0.288705,0.434136,0.010428,7.585154,11.467702,0.155830,0.002459
188,physics,0.832304,0.246406,0.425671,0.007920,7.583196,11.492871,0.155217,0.002406
189,text,0.835278,0.263089,0.459636,0.010940,7.582408,11.516434,0.159142,0.002641
190,physics,0.897745,0.277579,0.491048,0.013188,7.582041,11.537341,0.161314,0.003120
191,physics,0.958770,0.252998,0.521386,0.011199,7.579772,11.565698,0.164517,0.003594
192,physics,0.834644,0.263089,0.453504,0.010809,7.578489,11.596447,0.168152,0.002563
193,text,0.789119,0.288705,0.453365,0.012113,7.578800,11.624791,0.167479,0.002784
194,text,0.756110,0.277935,0.415760,0.010936,7.576003,11.657803,0.169750,0.002089
195,physics,0.820556,0.263089,0.426333,0.011242,7.576361,11.690774,0.164207,0.002622
196,text,0.797137,0.288705,0.474381,0.012646,7.577083,11.728153,0.170922,0.002717
197,text,0.935139,0.288705,0.500731,0.015586,7.579892,11.759425,0.175169,0.003139
198,text,0.823186,0.277579,0.454076,0.013802,7.580104,11.791836,0.178088,0.002472
199,text,0.709871,0.246406,0.363249,0.009753,7.578993,11.816133,0.167007,0.002094
200,physics,0.740481,0.277579,0.453836,0.007620,7.589681,12.832765,0.166402,0.002754
201,text,0.800877,0.277579,0.433573,0.013408,7.590563,12.868395,0.165389,0.002489
202,text,0.681088,0.277935,0.417815,0.009016,7.589530,12.900396,0.164295,0.002353
203,physics,0.856158,0.288705,0.472194,0.013607,7.588297,12.923234,0.162020,0.003066
204,text,0.877644,0.277579,0.487563,0.017003,7.585281,12.960806,0.160376,0.003260
205,physics,0.843772,0.263089,0.436745,0.011415,7.584960,12.990485,0.160845,0.002501
206,physics,0.740727,0.277935,0.456673,0.010114,7.586602,13.018383,0.166094,0.002536
207,physics,0.759351,0.277935,0.427865,0.010989,7.587322,13.054842,0.163921,0.002447
208,physics,0.801491,0.252998,0.444847,0.012134,7.588022,13.091347,0.157099,0.002981
209,physics,0.837014,0.277579,0.471185,0.012112,7.588296,13.128921,0.154889,0.003020
210,physics,0.757599,0.252998,0.457992,0.009697,7.589569,13.165288,0.159280,0.002640
211,text,0.901957,0.246406,0.521886,0.017144,7.591704,13.194316,0.163279,0.003502
212,text,0.830557,0.263089,0.478948,0.013581,7.592079,13.234475,0.163525,0.003056
213,text,0.766659,0.277579,0.465692,0.009628,7.590941,13.269745,0.159801,0.003038
214,physics,0.826503,0.277935,0.522760,0.009667,7.591693,13.307665,0.164425,0.003453
215,text,0.928003,0.246406,0.530324,0.015253,7.592632,13.338627,0.170000,0.003475
216,text,0.778871,0.263089,0.451028,0.008700,7.594560,13.364795,0.171189,0.002588
217,text,0.861592,0.263534,0.498431,0.011492,7.598050,13.394397,0.176024,0.003074
218,text,0.819290,0.253229,0.540712,0.012459,7.597164,13.429666,0.183484,0.003440
219,physics,0.708921,0.252998,0.406213,0.008590,7.599101,13.470260,0.178839,0.002210
220,physics,0.827835,0.263089,0.468770,0.010444,7.599577,13.496212,0.175482,0.002979
221,text,0.828062,0.253229,0.452775,0.012834,7.597579,13.534951,0.174522,0.002634
222,physics,0.902336,0.277579,0.533725,0.012380,7.600621,13.564747,0.180694,0.003389
223,text,0.853286,0.246406,0.486252,0.012506,7.605078,13.594812,0.183188,0.002849
224,text,0.839582,0.277579,0.485022,0.013029,7.608156,13.629293,0.182873,0.003036
225,physics,0.789758,0.253229,0.422818,0.010049,7.608153,13.662656,0.168849,0.002941
226,physics,0.788741,0.288705,0.455132,0.009650,7.604776,13.694839,0.164661,0.002894
227,text,0.846861,0.250363,0.437804,0.017402,7.604008,13.727227,0.161501,0.002720
228,text,0.779596,0.252998,0.496211,0.012816,7.604800,13.772173,0.157279,0.003538
229,text,0.851956,0.263089,0.412721,0.011623,7.605500,13.808038,0.151221,0.002519
230,text,0.730007,0.246406,0.428272,0.011010,7.604228,13.836925,0.152646,0.002418
231,physics,0.738294,0.252998,0.448647,0.008049,7.603385,13.882317,0.150717,0.002823
232,physics,0.795432,0.263089,0.460146,0.010154,7.603540,13.921403,0.151845,0.002809
233,text,0.811667,0.252998,0.465067,0.011010,7.602927,13.953514,0.150243,0.003067
234,text,0.760378,0.277579,0.452572,0.013682,7.601544,13.988759,0.149478,0.002822
235,text,0.867184,0.252998,0.521283,0.012592,7.601393,14.025290,0.156633,0.003498
236,text,0.809344,0.253229,0.473713,0.011887,7.602688,14.062892,0.153263,0.003179
237,text,0.661697,0.250363,0.419807,0.010750,7.602775,14.098860,0.152668,0.002364
238,physics,0.736827,0.250363,0.411908,0.009245,7.602088,14.138308,0.148945,0.002431
239,text,0.775997,0.277579,0.446004,0.011964,7.602537,14.177099,0.143999,0.002921
240,physics,0.796733,0.277935,0.488380,0.009994,7.606455,14.222060,0.147912,0.003094
241,physics,0.779634,0.277579,0.494924,0.008150,7.604651,14.268669,0.145352,0.003478
242,text,0.792650,0.277579,0.477240,0.019489,7.602718,14.322865,0.144903,0.003060
243,physics,0.779004,0.277935,0.449566,0.008619,7.601474,14.371899,0.149881,0.002522
244,text,0.929636,0.277579,0.557291,0.019301,7.604532,14.417605,0.149369,0.004389
245,physics,0.830548,0.252998,0.493521,0.013466,7.607035,14.462350,0.153661,0.003166
246,text,0.791892,0.263089,0.523463,0.012471,7.608561,14.511748,0.161591,0.003396
247,physics,0.887575,0.277579,0.535742,0.010221,7.608860,14.561474,0.161505,0.003899
248,physics,0.738294,0.252998,0.457746,0.008016,7.608760,14.613748,0.157987,0.002929
249,physics,0.705993,0.263089,0.439791,0.007807,7.611551,14.666497,0.160823,0.002420
250,text,0.746830,0.277579,0.457927,0.014968,7.614642,14.715706,0.164913,0.002588
251,physics,0.830148,0.277935,0.501080,0.009509,7.612160,14.765589,0.167922,0.003144
252,text,0.829736,0.277579,0.509012,0.012695,7.612044,14.811746,0.165387,0.003630
253,text,0.783957,0.263534,0.515299,0.011619,7.610828,14.852803,0.168928,0.003481
254,text,0.822320,0.263089,0.464776,0.013297,7.611404,14.891850,0.169180,0.002816
255,physics,0.815453,0.263089,0.523053,0.009110,7.611134,14.946030,0.175703,0.003351
256,text,0.759351,0.277935,0.455860,0.014813,7.612693,14.997191,0.173508,0.002749
