step,nav_action,nav_action_name,action_vec_norm,free_energy,prediction_error,confidence,obs_norm,pos_before,pos_after,wrapped,beta,info_gain,text_preview
36,4,stay,1.902420,15.904688,0.361311,0.917233,0.245962,3200,3200,0,0.985348,2.086367,he surprise of its o
37,0,forward,1.811538,15.739398,0.367737,0.917449,0.253067,3200,3328,0,0.984952,2.211066,ictable the current
38,3,fast_backward,1.492207,15.755400,0.306489,0.917181,0.177215,3328,2816,0,0.984556,2.132118,racter blocks in ord
39,1,backward,1.759311,15.861498,0.341095,0.917044,0.221963,2816,2688,0,0.984160,0.212558,e comes next. The te
40,3,fast_backward,1.599167,15.796602,0.307307,0.916919,0.177662,2688,2176,0,0.983764,1.915769,provide additional
41,2,fast_forward,1.682580,15.847994,0.341669,0.917287,0.221963,2176,2688,0,0.983368,1.825072,e comes next. The te
42,4,stay,2.167108,15.784160,0.343397,0.917078,0.221963,2688,2688,0,0.982972,1.731596,e comes next. The te
43,3,fast_backward,1.827941,15.979718,0.309708,0.916920,0.177662,2688,2176,0,0.982576,1.267466,provide additional
44,1,backward,1.316239,16.067387,0.304396,0.917146,0.175441,2176,2048,0,0.982180,0.490855,statistics of the te
45,4,stay,1.397047,15.994154,0.303428,0.917136,0.175441,2048,2048,0,0.981784,1.183483,statistics of the te
46,1,backward,1.378829,15.857013,0.378118,0.917554,0.254057,2048,1920,0,0.981388,1.190665,rror. Evaluation of
47,0,forward,1.093177,15.910875,0.306802,0.917138,0.175441,1920,2048,0,0.980992,0.525561,statistics of the te
48,2,fast_forward,1.592437,16.000673,0.344055,0.917088,0.214403,2048,2560,0,0.980596,0.383851,s or re-read passage
49,0,forward,1.922455,16.004821,0.346619,0.917137,0.221963,2560,2688,0,0.980200,1.114063,e comes next. The te
50,4,stay,1.476576,16.129305,0.348413,0.917446,0.221963,2688,2688,0,0.979804,0.360063,e comes next. The te
51,1,backward,1.377569,16.268860,0.348369,0.917174,0.214403,2688,2560,0,0.979408,0.208078,s or re-read passage
52,2,fast_forward,1.840206,16.513823,0.329683,0.916571,0.203670,2560,3072,0,0.979012,0.588409,des the mathematical
53,4,stay,2.121061,16.697594,0.330229,0.916452,0.203670,3072,3072,0,0.978616,1.099842,des the mathematical
54,1,backward,1.408027,16.619953,0.337579,0.917422,0.190799,3072,2944,0,0.978220,0.475392,sing a random projec
55,3,fast_backward,1.736027,16.415092,0.316842,0.917383,0.168851,2944,2432,0,0.977824,0.420832,h an information-gai
56,0,forward,1.751138,16.382742,0.349854,0.916991,0.214403,2432,2560,0,0.977428,0.369462,s or re-read passage
57,0,forward,1.625389,16.207051,0.352457,0.917339,0.221963,2560,2688,0,0.977032,0.411151,e comes next. The te
58,3,fast_backward,1.322987,16.380821,0.318750,0.916740,0.177662,2688,2176,0,0.976636,0.338156,provide additional
59,4,stay,1.387566,16.292914,0.317744,0.916913,0.177662,2176,2176,0,0.976240,0.381981,provide additional
60,1,backward,1.630877,16.358433,0.312724,0.917694,0.175441,2176,2048,0,0.975844,0.201547,statistics of the te
61,4,stay,1.502823,16.173032,0.312063,0.917071,0.175441,2048,2048,0,0.975448,0.436942,statistics of the te
62,2,fast_forward,1.210092,16.240603,0.350158,0.917495,0.214403,2048,2560,0,0.975052,0.619108,s or re-read passage
63,1,backward,1.554302,16.374428,0.316498,0.917842,0.168851,2560,2432,0,0.974656,0.373657,h an information-gai
64,1,backward,1.596064,16.309692,0.334406,0.917102,0.197942,2432,2304,0,0.974260,0.453856,nd bounded predictio
65,1,backward,1.545354,16.262635,0.317895,0.916789,0.177662,2304,2176,0,0.973864,0.623402,provide additional
66,1,backward,1.829766,16.378114,0.312735,0.917307,0.175441,2176,2048,0,0.973468,0.380816,statistics of the te
67,4,stay,1.439300,16.808826,0.312405,0.917234,0.175441,2048,2048,0,0.973072,0.376753,statistics of the te
68,2,fast_forward,1.302238,16.797722,0.351163,0.917625,0.214403,2048,2560,0,0.972676,0.248827,s or re-read passage
69,0,forward,1.490232,16.856099,0.353589,0.917275,0.221963,2560,2688,0,0.972280,0.415524,e comes next. The te
70,0,forward,1.593115,16.975908,0.324029,0.917250,0.177215,2688,2816,0,0.971884,0.526761,racter blocks in ord
71,2,fast_forward,1.409778,17.239944,0.384960,0.917587,0.253067,2816,3328,0,0.971488,0.497690,ictable the current
72,3,fast_backward,1.530018,17.244343,0.327795,0.917091,0.177215,3328,2816,0,0.971092,0.329411,racter blocks in ord
73,4,stay,1.584117,17.546324,0.328120,0.916911,0.177215,2816,2816,0,0.970696,0.587123,racter blocks in ord
74,4,stay,1.663611,17.609101,0.328487,0.917065,0.177215,2816,2816,0,0.970300,0.678171,racter blocks in ord
75,1,backward,1.637482,17.662520,0.360537,0.917322,0.221963,2816,2688,0,0.969904,0.706609,e comes next. The te
76,4,stay,1.332207,17.608089,0.362428,0.917188,0.221963,2688,2688,0,0.969508,0.651810,e comes next. The te
77,2,fast_forward,1.575489,17.787288,0.389401,0.917262,0.245962,2688,3200,0,0.969112,0.511185,he surprise of its o
78,4,stay,1.575288,18.079390,0.392074,0.917632,0.245962,3200,3200,0,0.968716,0.708748,he surprise of its o
79,1,backward,1.749227,18.057413,0.347696,0.916765,0.203670,3200,3072,0,0.968320,0.867089,des the mathematical
80,2,fast_forward,1.754695,18.008077,0.359200,0.917582,0.197040,3072,3584,0,0.967924,0.921182,tests whether a fre
81,2,fast_forward,1.525743,18.133797,0.361064,0.917549,0.198953,3584,4096,0,0.967528,0.473747,ng a random projecti
82,1,backward,1.414504,17.922197,0.336236,0.917065,0.173957,4096,3968,0,0.967132,0.886879,cter blocks in order
83,3,fast_backward,1.684505,17.948487,0.368644,0.918579,0.204990,3968,3456,0,0.966736,0.951784,d decrease. Cognitiv
84,1,backward,1.899303,17.911873,0.400465,0.917537,0.253067,3456,3328,0,0.966340,0.903375,ictable the current
85,2,fast_forward,1.308346,18.047269,0.369175,0.917294,0.211055,3328,3840,0,0.965944,0.597056,om scratch. The text
86,3,fast_backward,1.477749,17.785070,0.403929,0.917536,0.253067,3840,3328,0,0.965548,0.956185,ictable the current
87,4,stay,1.218908,17.688471,0.406570,0.917436,0.253067,3328,3328,0,0.965152,0.696133,ictable the current
88,3,fast_backward,1.696265,17.837894,0.349392,0.917019,0.177215,3328,2816,0,0.964756,0.785753,racter blocks in ord
89,0,forward,1.539493,17.893178,0.367828,0.917395,0.190799,2816,2944,0,0.964360,0.732223,sing a random projec
90,1,backward,1.665592,17.594817,0.348882,0.917003,0.177215,2944,2816,0,0.963964,0.933768,racter blocks in ord
91,2,fast_forward,1.222378,17.684111,0.408049,0.917635,0.253067,2816,3328,0,0.963568,0.834792,ictable the current
92,2,fast_forward,1.776030,17.563037,0.376798,0.917142,0.211055,3328,3840,0,0.963172,0.719307,om scratch. The text
93,0,forward,1.202731,17.759009,0.348147,0.917643,0.173957,3840,3968,0,0.962776,0.401549,cter blocks in order
94,0,forward,1.504096,17.603322,0.372733,0.917466,0.198953,3968,4096,0,0.962380,0.322898,ng a random projecti
95,0,forward,1.724902,17.609861,0.384179,0.917644,0.207990,4096,4224,0,0.961984,0.366220,he spontaneous forma
96,4,stay,1.646174,17.501508,0.384312,0.917799,0.207990,4224,4224,0,0.961588,0.621441,he spontaneous forma
97,3,fast_backward,1.554940,17.569630,0.361453,0.917047,0.194548,4224,3712,0,0.961192,0.321317,s no pretrained embe
98,0,forward,1.831997,17.744343,0.377470,0.917355,0.211055,3712,3840,0,0.960796,0.381118,om scratch. The text
99,3,fast_backward,2.018441,17.585378,0.411776,0.917570,0.253067,3840,3328,0,0.960400,0.666361,ictable the current
100,1,backward,1.629741,17.728098,0.410107,0.917311,0.245962,3328,3200,0,0.960004,0.529332,he surprise of its o
101,1,backward,1.671944,17.550736,0.366376,0.916895,0.203670,3200,3072,0,0.959608,0.607808,des the mathematical
102,3,fast_backward,1.729219,17.651800,0.386312,0.917347,0.214403,3072,2560,0,0.959212,0.568144,s or re-read passage
103,3,fast_backward,1.514278,17.589567,0.349632,0.917189,0.175441,2560,2048,0,0.958816,0.770408,statistics of the te
104,2,fast_forward,1.707307,17.720655,0.384940,0.917207,0.214403,2048,2560,0,0.958420,0.356930,s or re-read passage
105,0,forward,1.265136,17.736212,0.386158,0.917100,0.221963,2560,2688,0,0.958024,0.680838,e comes next. The te
106,2,fast_forward,1.527513,17.842449,0.411440,0.917382,0.245962,2688,3200,0,0.957628,0.365841,he surprise of its o
107,2,fast_forward,1.339056,17.925264,0.368311,0.916969,0.194548,3200,3712,0,0.957232,0.352567,s no pretrained embe
108,3,fast_backward,1.924952,18.046860,0.413161,0.917443,0.245962,3712,3200,0,0.956836,0.419172,he surprise of its o
109,0,forward,1.700543,17.991116,0.419476,0.917741,0.253067,3200,3328,0,0.956440,0.353346,ictable the current
110,3,fast_backward,1.297938,17.739450,0.363708,0.917874,0.177215,3328,2816,0,0.956044,0.775297,racter blocks in ord
111,4,stay,1.823161,17.820133,0.362816,0.917435,0.177215,2816,2816,0,0.955648,0.642689,racter blocks in ord
112,2,fast_forward,1.726540,17.546554,0.420191,0.917679,0.253067,2816,3328,0,0.955252,0.356145,ictable the current
113,3,fast_backward,1.367771,17.640938,0.364403,0.917057,0.177215,3328,2816,0,0.954856,0.510450,racter blocks in ord
114,2,fast_forward,1.449800,17.946837,0.421728,0.917275,0.253067,2816,3328,0,0.954460,0.294765,ictable the current
115,1,backward,1.638193,18.011499,0.419864,0.917594,0.245962,3328,3200,0,0.954064,0.378707,he surprise of its o
116,3,fast_backward,1.877967,18.269057,0.397323,0.917144,0.221963,3200,2688,0,0.953668,0.674637,e comes next. The te
117,4,stay,1.628933,18.133713,0.397986,0.917168,0.221963,2688,2688,0,0.953272,0.521037,e comes next. The te
118,1,backward,1.344573,18.341521,0.397994,0.917374,0.214403,2688,2560,0,0.952876,0.564664,s or re-read passage
119,1,backward,1.581555,18.193717,0.365007,0.917253,0.168851,2560,2432,0,0.952480,0.420522,h an information-gai
120,0,forward,1.542637,17.927750,0.395880,0.916972,0.214403,2432,2560,0,0.952084,0.551471,s or re-read passage
121,3,fast_backward,1.645029,17.927492,0.359585,0.917073,0.175441,2560,2048,0,0.951688,0.506949,statistics of the te
122,0,forward,1.401263,17.825469,0.361495,0.917434,0.177662,2048,2176,0,0.951292,0.482616,provide additional
123,2,fast_forward,1.402259,17.762128,0.393695,0.917295,0.221963,2176,2688,0,0.950896,0.511843,e comes next. The te
124,3,fast_backward,1.540939,17.617877,0.361252,0.917032,0.177662,2688,2176,0,0.950500,0.573187,provide additional
125,2,fast_forward,1.484821,17.579135,0.393479,0.917441,0.221963,2176,2688,0,0.950104,0.261471,e comes next. The te
126,2,fast_forward,1.666278,17.626898,0.418324,0.917374,0.245962,2688,3200,0,0.949708,0.368391,he surprise of its o
127,3,fast_backward,1.655814,17.481463,0.396934,0.917167,0.221963,3200,2688,0,0.949312,0.420264,e comes next. The te
128,1,backward,1.519080,17.494969,0.397396,0.917223,0.214403,2688,2560,0,0.948916,0.357566,s or re-read passage
129,2,fast_forward,1.669437,17.348275,0.376358,0.916365,0.203670,2560,3072,0,0.948520,0.419191,des the mathematical
130,0,forward,1.126031,17.212949,0.421545,0.917375,0.245962,3072,3200,0,0.948124,0.527269,he surprise of its o
131,2,fast_forward,1.937534,17.105999,0.379102,0.916956,0.194548,3200,3712,0,0.947728,0.436809,s no pretrained embe
132,0,forward,1.606748,17.116266,0.395686,0.917108,0.211055,3712,3840,0,0.947332,0.265501,om scratch. The text
133,2,fast_forward,1.358302,17.273677,0.371699,0.917155,0.178443,3840,4352,0,0.946936,0.305444,ing agent can form p
134,4,stay,1.768568,17.161137,0.370732,0.916931,0.178443,4352,4352,0,0.946540,0.402052,ing agent can form p
135,1,backward,1.939874,17.246373,0.401227,0.917682,0.207990,4352,4224,0,0.946144,0.430681,he spontaneous forma
136,3,fast_backward,1.670653,17.225488,0.377739,0.917020,0.194548,4224,3712,0,0.945748,0.398873,s no pretrained embe
137,4,stay,1.338939,17.261019,0.377586,0.916804,0.194548,3712,3712,0,0.945352,0.376429,s no pretrained embe
138,2,fast_forward,1.519777,17.268788,0.401338,0.917558,0.207990,3712,4224,0,0.944956,0.528657,he spontaneous forma
139,0,forward,1.410488,17.057866,0.370419,0.917131,0.178443,4224,4352,0,0.944560,0.492048,ing agent can form p
140,2,fast_forward,1.647386,16.964709,0.428241,0.917442,0.257925,4352,4864,0,0.944164,0.471542,table the current ch
141,3,fast_backward,1.792413,17.078196,0.372622,0.917133,0.178443,4864,4352,0,0.943768,0.514496,ing agent can form p
142,3,fast_backward,1.228433,17.496862,0.396470,0.917186,0.211055,4352,3840,0,0.943372,0.384896,om scratch. The text
143,2,fast_forward,1.507560,17.298081,0.372802,0.916982,0.178443,3840,4352,0,0.942976,0.388802,ing agent can form p
144,0,forward,1.473053,17.622912,0.387835,0.917368,0.194905,4352,4480,0,0.942580,0.326539,"iser, and no externa"
145,3,fast_backward,1.642909,17.502197,0.369623,0.917380,0.173957,4480,3968,0,0.942184,0.387284,cter blocks in order
146,0,forward,1.389566,17.343163,0.393599,0.917613,0.198953,3968,4096,0,0.941788,0.477680,ng a random projecti
147,2,fast_forward,1.490589,17.209100,0.381355,0.916704,0.204065,4096,4608,0,0.941392,0.476196,s the mathematical f
148,0,forward,1.511107,17.003826,0.418399,0.917405,0.236303,4608,4736,0,0.940996,0.492147,surprise of its obs
149,3,fast_backward,1.776524,16.939841,0.406024,0.917615,0.207990,4736,4224,0,0.940600,0.473098,he spontaneous forma
150,0,forward,1.669329,16.935284,0.375208,0.917724,0.178443,4224,4352,0,0.940204,0.480673,ing agent can form p
151,2,fast_forward,1.379833,17.110712,0.432947,0.917524,0.257925,4352,4864,0,0.939808,0.365013,table the current ch
152,0,forward,1.807416,17.191127,0.393623,0.917094,0.201395,4864,4992,0,0.939412,0.394347,decrease. Curiosity
153,1,backward,1.189896,17.396560,0.435738,0.917444,0.257925,4992,4864,0,0.939016,0.572682,table the current ch
154,0,forward,1.909169,17.481214,0.396633,0.916969,0.201395,4864,4992,0,0.938620,0.459173,decrease. Curiosity
155,0,forward,1.608274,17.544272,0.391382,0.917226,0.190034,4992,5120,0,0.938224,0.473268,in term in its actio
156,0,forward,2.058533,17.721529,0.405394,0.917395,0.213764,5120,5248,0,0.937828,0.583289,es that produced hig
157,1,backward,1.640079,17.690599,0.391200,0.917307,0.190034,5248,5120,0,0.937432,0.448510,in term in its actio
158,2,fast_forward,1.327391,17.805246,0.371976,0.916613,0.179660,5120,5632,0,0.937036,0.493618,ditional diagnostic
159,4,stay,1.168061,17.826317,0.370608,0.916557,0.179660,5632,5632,0,0.936640,0.384644,ditional diagnostic
160,0,forward,1.188322,17.654205,0.387163,0.917205,0.191195,5632,5760,0,0.936244,0.332172,prediction error. Cu
161,4,stay,1.708494,17.761370,0.387310,0.917364,0.191195,5760,5760,0,0.935848,0.603538,prediction error. Cu
162,2,fast_forward,1.510941,17.940663,0.367400,0.917148,0.172580,5760,6272,0,0.935452,0.438520,tistics of the text.
163,0,forward,1.587281,17.977538,0.369123,0.916473,0.178724,6272,6400,0,0.935056,0.576385,ovide additional dia
164,4,stay,1.530346,17.664933,0.368211,0.916481,0.178724,6400,6400,0,0.934660,0.266009,ovide additional dia
165,1,backward,1.996063,17.694485,0.364388,0.917193,0.172580,6400,6272,0,0.934264,0.566020,tistics of the text.
166,2,fast_forward,1.596198,17.619310,0.390882,0.916588,0.213473,6272,6784,0,0.933868,0.485779,. The model has no p
167,0,forward,1.225929,17.425851,0.381079,0.917192,0.181668,6784,6912,0,0.933472,0.406670,nsory input from scr
168,3,fast_backward,1.695909,17.523517,0.368174,0.916815,0.178724,6912,6400,0,0.933076,0.355804,ovide additional dia
169,3,fast_backward,1.531473,17.608323,0.386540,0.917463,0.185794,6400,5888,0,0.932680,0.300292,ation-gain term in i
170,0,forward,1.700519,17.571902,0.396099,0.917231,0.211594,5888,6016,0,0.932284,0.483880,d passages that prod
171,2,fast_forward,1.674972,17.443538,0.391314,0.917628,0.187692,6016,6528,0,0.931888,0.366310,bounded prediction e
172,2,fast_forward,1.815104,17.630124,0.399036,0.917601,0.218436,6528,7040,0,0.931492,0.357748,d updates it to mini
173,1,backward,1.188247,17.658053,0.383081,0.917043,0.181668,7040,6912,0,0.931096,0.356068,nsory input from scr
174,1,backward,1.674120,17.600460,0.393673,0.916703,0.213473,6912,6784,0,0.930700,0.520944,. The model has no p
175,1,backward,1.913431,17.818401,0.398142,0.917556,0.189681,6784,6656,0,0.930304,0.534563,aModel project tests
176,0,forward,1.974698,17.751044,0.395173,0.916673,0.213473,6656,6784,0,0.929908,0.513735,. The model has no p
177,4,stay,1.721550,17.669069,0.396474,0.916783,0.213473,6784,6784,0,0.929512,0.542177,. The model has no p
178,1,backward,1.828232,17.655581,0.400976,0.918005,0.189681,6784,6656,0,0.929116,0.408224,aModel project tests
179,3,fast_backward,1.182640,17.822290,0.441440,0.917655,0.258358,6656,6144,0,0.928720,0.451545,t. Evaluation of the
180,1,backward,1.507570,17.740191,0.405260,0.917219,0.211594,6144,6016,0,0.928324,0.344848,d passages that prod
181,3,fast_backward,1.081671,17.558415,0.376730,0.917429,0.177647,6016,5504,0,0.927928,0.367581,of the text. If it r
182,0,forward,1.548952,17.468294,0.377447,0.916508,0.179660,5504,5632,0,0.927532,0.452620,ditional diagnostic
183,3,fast_backward,1.857430,17.335241,0.393677,0.917198,0.190034,5632,5120,0,0.927136,0.420894,in term in its actio
184,3,fast_backward,1.805478,17.407781,0.392898,0.916836,0.204065,5120,4608,0,0.926740,0.424765,s the mathematical f
185,4,stay,1.848783,17.396885,0.393453,0.916880,0.204065,4608,4608,0,0.926344,0.322575,s the mathematical f
186,0,forward,1.343211,17.485297,0.428947,0.917234,0.236303,4608,4736,0,0.925948,0.411057,surprise of its obs
187,2,fast_forward,1.639348,17.357624,0.412412,0.917329,0.213764,4736,5248,0,0.925552,0.306365,es that produced hig
188,4,stay,2.134244,17.279613,0.413033,0.917110,0.213764,5248,5248,0,0.925156,0.590216,es that produced hig
189,2,fast_forward,1.530954,17.374558,0.397888,0.917184,0.191195,5248,5760,0,0.924760,0.235957,prediction error. Cu
190,2,fast_forward,1.675444,17.457122,0.378748,0.917276,0.172580,5760,6272,0,0.924364,0.380823,tistics of the text.
191,0,forward,1.210481,17.631262,0.380607,0.916530,0.178724,6272,6400,0,0.923968,0.490980,ovide additional dia
192,0,forward,1.234232,17.697001,0.401907,0.917744,0.187692,6400,6528,0,0.923572,0.491049,bounded prediction e
193,4,stay,1.701719,17.557291,0.401700,0.917555,0.187692,6528,6528,0,0.923176,0.505487,bounded prediction e
194,1,backward,1.465449,17.489537,0.379723,0.916869,0.178724,6528,6400,0,0.922780,0.492927,ovide additional dia
195,2,fast_forward,1.769857,17.400114,0.392037,0.917163,0.181668,6400,6912,0,0.922384,0.216649,nsory input from scr
196,1,backward,1.853257,17.743376,0.401923,0.916745,0.213473,6912,6784,0,0.921988,0.475343,. The model has no p
197,3,fast_backward,1.344730,17.668501,0.377143,0.917132,0.172580,6784,6272,0,0.921592,0.424890,tistics of the text.
198,3,fast_backward,1.536953,17.781035,0.395789,0.917390,0.191195,6272,5760,0,0.921196,0.228878,prediction error. Cu
199,0,forward,1.762037,17.682432,0.398493,0.917238,0.185794,5760,5888,0,0.920800,0.384782,ation-gain term in i
200,3,fast_backward,1.775837,17.693518,0.438215,0.917789,0.248801,5888,5376,0,0.920404,0.373117,ation of the text lo
201,0,forward,1.811081,17.731543,0.381881,0.917256,0.177647,5376,5504,0,0.920008,0.347908,of the text. If it r
202,2,fast_forward,2.064028,17.576236,0.410016,0.917385,0.211594,5504,6016,0,0.919612,0.471285,d passages that prod
203,1,backward,1.362400,17.715104,0.401848,0.917444,0.185794,6016,5888,0,0.919216,0.466049,ation-gain term in i
204,0,forward,1.498632,17.700189,0.410545,0.917101,0.211594,5888,6016,0,0.918820,0.443231,d passages that prod
205,3,fast_backward,1.685887,17.772523,0.382872,0.916969,0.177647,6016,5504,0,0.918424,0.383150,of the text. If it r
206,1,backward,1.653803,17.767608,0.440812,0.917322,0.248801,5504,5376,0,0.918028,0.390710,ation of the text lo
207,1,backward,0.959333,17.751538,0.418183,0.917296,0.213764,5376,5248,0,0.917632,0.513365,es that produced hig
208,1,backward,1.735485,17.638579,0.404089,0.917355,0.190034,5248,5120,0,0.917236,0.395224,in term in its actio
209,4,stay,1.645287,17.656354,0.404150,0.917363,0.190034,5120,5120,0,0.916840,0.370071,in term in its actio
210,0,forward,1.553398,17.882662,0.418891,0.917124,0.213764,5120,5248,0,0.916444,0.346484,es that produced hig
211,1,backward,1.533977,17.722973,0.404988,0.917286,0.190034,5248,5120,0,0.916048,0.435359,in term in its actio
212,1,backward,1.642967,17.720001,0.410420,0.917364,0.201395,5120,4992,0,0.915652,0.305280,decrease. Curiosity
213,4,stay,1.606019,17.939497,0.411018,0.917188,0.201395,4992,4992,0,0.915256,0.426711,decrease. Curiosity
214,4,stay,1.428312,17.875063,0.411603,0.916910,0.201395,4992,4992,0,0.914860,0.296994,decrease. Curiosity
215,2,fast_forward,2.210345,18.004632,0.389158,0.916959,0.177647,4992,5504,0,0.914464,0.497355,of the text. If it r
216,0,forward,1.233920,17.929565,0.390173,0.916390,0.179660,5504,5632,0,0.914068,0.418692,ditional diagnostic
217,2,fast_forward,1.564489,17.903896,0.452636,0.917414,0.258358,5632,6144,0,0.913672,0.389081,t. Evaluation of the
218,0,forward,1.707697,17.982439,0.389002,0.917257,0.172580,6144,6272,0,0.913276,0.248842,tistics of the text.
219,3,fast_backward,1.728987,17.878164,0.406848,0.917149,0.191195,6272,5760,0,0.912880,0.418308,prediction error. Cu
220,3,fast_backward,1.418831,18.024163,0.422497,0.917278,0.213764,5760,5248,0,0.912484,0.288907,es that produced hig
221,3,fast_backward,1.521636,17.843666,0.440675,0.917497,0.236303,5248,4736,0,0.912088,0.239439,surprise of its obs
222,1,backward,1.725869,17.850035,0.409530,0.916806,0.204065,4736,4608,0,0.911692,0.318396,s the mathematical f
223,4,stay,1.581007,17.775510,0.409837,0.916648,0.204065,4608,4608,0,0.911296,0.238939,s the mathematical f
224,1,backward,1.439316,17.797752,0.415222,0.917243,0.194905,4608,4480,0,0.910900,0.510209,"iser, and no externa"
225,1,backward,1.734869,17.674063,0.402625,0.917246,0.178443,4480,4352,0,0.910504,0.350667,ing agent can form p
226,4,stay,1.463169,17.776068,0.402119,0.917027,0.178443,4352,4352,0,0.910108,0.206446,ing agent can form p
227,4,stay,2.020648,17.936449,0.401692,0.917429,0.178443,4352,4352,0,0.909712,0.433142,ing agent can form p
228,4,stay,2.013552,17.822006,0.401337,0.917097,0.178443,4352,4352,0,0.909316,0.498079,ing agent can form p
229,1,backward,1.826665,17.906215,0.429473,0.917681,0.207990,4352,4224,0,0.908920,0.468533,he spontaneous forma
230,1,backward,1.405843,17.942348,0.422341,0.917537,0.198953,4224,4096,0,0.908524,0.386135,ng a random projecti
231,4,stay,1.377504,18.065129,0.422980,0.917709,0.198953,4096,4096,0,0.908128,0.297537,ng a random projecti
232,2,fast_forward,1.793702,18.066746,0.411145,0.916669,0.204065,4096,4608,0,0.907732,0.399329,s the mathematical f
233,1,backward,1.582478,17.982326,0.416076,0.917414,0.194905,4608,4480,0,0.907336,0.230170,"iser, and no externa"
