step,n_records,fe_slope_recent,re_read_preference,linked_pair_cos_sim,random_pair_cos_sim,consistency_score,n_linked_pairs_evaluated,n_random_pairs_evaluated
100,100,0.005295,0.260000,0.999943,0.999932,0.000011,20,20
200,200,-0.011036,0.280000,0.999979,0.999975,0.000004,20,20
